text,label,predict_label
oh kalo lg gangguan langsung pake buzzer ye kerenn,2,Negatif
ah tai dah besok gw mo menghadiri webinar tp belom bener no connecting trs knpsi elah,2,Negatif
ah elah berulah,2,Negatif
udh bener lg thanks yah,2,Positif
jgn pake om btob album preview,2,Positif
gw bayar lo ribu sebulan kampret,2,Negatif
jir gabisa buka discord kah,2,Negatif
gue mah pake gembel,2,Negatif
ya allah discord lagii,2,Negatif
jelasin gimanapun bayar mahal pelayanan nothing,2,Negatif
nonton ulang penthouse rindu ketegangan drakor menarik nya khawatir kouta internet habis krn dirumah,2,Positif
pdhl bulan nya rutin bayar pas juni tagihan tertera rb yg salah limpahkan customer syok pencabutan disuruh bayar fck,2,Negatif
bner dah,2,Negatif
ngga langganan ya guys,2,Positif
lumayan lah sebulan langganan dapet harga segini,2,Positif
blg kontol,2,Negatif
ngapasi anjing,2,Negatif
buat lah berlangganan,2,Positif
tunggu yuk langsung aja langganan,2,Positif
bilang lu,2,Negatif
lemot streaming jikjin ya,2,Negatif
tebar berita telkom jabar berita minggu pelaku hobi foya ngabisin gaji nih sob yuk kelola keuangan lupa kewajiban tagihan yaa,2,Positif
kemarin lemot banget,2,Negatif
weibo tolong kerja nya ngelag napa sih ayang gw lg ngelive,2,Negatif
gr tai kouta gue jd cepet abis,2,Negatif
tolong lemot duluu,2,Negatif
bajingan muncull lu bgstt nyusahin,2,Negatif
rumah gue ping nya ngedrop mulu ya pas main valorant pas main aja ping nya pas game ping nya ngedrop parah,2,Negatif
kontol anjing babi bangsat,2,Negatif
ga sampe gue bener,2,Negatif
jelek banget kah,2,Negatif
kalo sehari lancar tiang nya roboh kali yy,2,Positif
yg pake gimana lancar gak gue sinyalny ilangan mulu,2,Negatif
napa ya udah jelek mulu ni jaringan nya,2,Negatif
nih lu bener kayak anjing dah,2,Negatif
tolong banget,2,Negatif
kak selamat malamkok internet nya gk bs main roblox yah apkaah roblox berantem bermain roblox viewer ku kak semoga kedepan nya roblox baikan,2,Positif
sabar ya dm lg jelek bgt,2,Negatif
gembel,2,Negatif
jelek bgt gajadi nonton,2,Negatif
mohon dicek jam nyambung terputus id pelnggan,2,Negatif
jelek banget,2,Negatif
kenapee sich,2,Negatif
coyy asu,2,Negatif
erorr nonton live chenle,2,Negatif
malam bos berhenti berlangganan posisi nya singapura memiliki no tlfon indonesia tolong solusi nya,2,Positif
mba ngadet ya,2,Negatif
menguji kesabaran banget dah,2,Positif
tp wifi dr kmrn buka apl berat bgt live carat aja ga nonton,2,Positif
bisa nya kota ancurnya sinyal dasar homo,2,Negatif
buzzernya wkw,2,Negatif
ku benci dr hujan error,2,Negatif
sumpah lu anjir,2,Negatif
nyebelin ga sihh aksnjdksksks mu error kah,2,Negatif
minggu kamus pintar seputar bahas upgrade speed sobat udah tau upgrade speed intip yuk pengertian upgrade speed,2,Positif
error nya gantian kah,2,Negatif
woi lemot pliss nonton ayang beb,2,Negatif
ya seharian eror zoom berkali kali masuk download gk tolong dibantu,2,Negatif
apapun ih,2,Netral
nih bos senggol,2,Negatif
error massal kah,2,Negatif
hallo care berhenti berlangganan syarat nya,2,Positif
knp sih,2,Negatif
kentot benernya,2,Negatif
kkt musuhan,2,Negatif
lemot bgtt anjing,2,Negatif
ngeload foto lamaa banget lu knp dah,2,Negatif
gak pindah,2,Negatif
monyeett,2,Negatif
telkom kenapasi ni jan ampe gua beli mifi dalem nya gua isiin flexi,2,Negatif
malaam min knpa yaa berwarna merah tombol los,2,Negatif
ajgg w lanjutin drakor gabisa,2,Negatif
gue jg emang jelek banget anjrit,2,Negatif
busuk,2,Negatif
jgn pls goal jikjin masi m lg,2,Positif
kak ya gaada koneksi,2,Positif
napa sih,2,Negatif
tolong lah rt wifinya smua,2,Negatif
gila sih benerin koneksi nyewa buzzer,2,Negatif
taii,2,Negatif
wow cece router era,2,Negatif
lo gausah ngajak berantem deh,2,Negatif
area bambu kuning no internet akses kelar ny maintenance ny kacau,2,Negatif
sak gang isok ganti mn kenek modelan promo wkwk akhire aing pengguna isok nguasai maneng wkwk,2,Negatif
kadang suka bete tv kabel knp subtitlenya putih warna nya jd suka ga keliatan kalah situs nonton yg iklan judi nya yg udh make subtitle warna kuning,2,Negatif
hi min tagihan yah,2,Positif
monyet,2,Negatif
we tolong jaringan nya dikondisikan jaringan ya gk berubah keren parah memangnya main mars pingnya merah,2,Negatif
catat jgn kelewatan,2,Positif
lemot bgt pls gabisa refresh ht jakxbskz,2,Negatif
error massal y,2,Negatif
selamat malam admin wifi bermasalah kedip merah tulisan pon wireless ya solusi nya thankyou so much,2,Positif
gak jaringan nya jelek capek banget astaga,2,Negatif
lupa gengs besok batas pembayaran ntar isolir internet de,2,Negatif
bingung internetmu loss merah nggak khawatir depok kasih tau langkah mengatasi internet los merah,2,Positif
mulu aku nya kpn nngis wc,2,Negatif
nyet,2,Negatif
gws,2,Negatif
cepu,2,Negatif
yuk lupa berdoa ashar ya gengs salah doa mujarab jumat berdasarkan hadist n,2,Negatif
kadang ngejalaninnya susah yekan gengs tonton video interview lengkap gizi pola hidup sehat ht,2,Positif
ayo kawan,2,Positif
kalo menang lumayan banget hadiah nya,2,Positif
payah bgt kalo ujan,2,Negatif
u think u can hurt me user sob,2,Negatif
menghilang berjalan nya sekolah wifinan internet nya,2,Positif
min lampu internet modem nyala merah gak konek internetudah berjam jam benernya,2,Negatif
hadeh lg si,2,Negatif
masyaallah rejeki kaya nya jnternet ngelag begimana dah udh nangis thx,2,Negatif
semoga bersahabat,2,Positif
trend tuh kalo internetan ga pakai kuota guys pake hehe,2,Positif
ngapa sikk,2,Negatif
sehari jgn caper bs gk,2,Positif
ngajak berantem,2,Negatif
sejujurnya ane ga percaya orang,2,Positif
kalo total tagihan bulanan berubah dibayarin udah terbayarkan tagihan tu jane pie,2,Negatif
gangguan ya temen gue jg gangguan,2,Positif
anjj,2,Negatif
im seriously so tired of you,2,Negatif
anjay usus gw keren drpd,2,Positif
awakening my violent urges,2,Negatif
kenape si,2,Negatif
ga cape beli makan guys pesen aja online pakai jaringan,2,Positif
kacau gaming nih,2,Negatif
i wilk fucking,2,Negatif
didenda gua,2,Negatif
hadeh,2,Negatif
spotify sm sii,2,Negatif
im going to kll you myself,2,Negatif
sungguh wifi lemot nya biasaa,2,Negatif
nyiksa banget lemot gini,2,Negatif
hai sobat smartmemiliki rumah nyaman penghuni betah rumah halnya video hunian nyaman perangkat smart home diandalkan,2,Positif
skrg wifi lemot ya,2,Negatif
kacau,2,Negatif
sampe nuduh wifi yg jelek pdhal gang,2,Negatif
wifi lu,2,Negatif
meraju,2,Negatif
pokok nya alumni jaringan tuh udah bahagia banget,2,Positif
gw lemot cogg udah harii,2,Negatif
beruntung bener pelanggan corporate aja trouble langsung tanggepin,2,Positif
lemott,2,Negatif
lemot bget udh sebel bget w pindah provider,2,Negatif
tolongg,2,Negatif
lu kyk koncol ga,2,Negatif
kesini lemot gimana inipadahal pembayaran gak pernag telat,2,Negatif
deh lemot banget sore,2,Negatif
lemot tp laris ae,2,Negatif
cs kuat batin nya,2,Negatif
online ga khawatir kuota jebol gais,2,Negatif
ngeselin bgt dah gue suka ilang sinyal nya,2,Negatif
rumah error mohon dibenerin,2,Negatif
min data jebol gimana yg telepon nomor panggil nama yg salah persis nama daftarkan layanan,2,Negatif
lag banget,2,Negatif
sih baut buka ig ama twitter aja gabisa gw main valo nih,2,Negatif
addhh temenan gak,2,Negatif
min pon merah,2,Negatif
gausah cari perkara please,2,Netral
tau kalo bayar listrik mahal wkwk,2,Negatif
tolong wfi sya gak connecting dri pagi nlpon no pelanggan temukan jls no sya,2,Positif
emang server kaya tai sih masuk rdr aja error mulu,2,Negatif
kak ku eror merah gt modem nya,2,Negatif
bapuk ga sih,2,Negatif
mati internet nya,2,Negatif
ngelag pas pushrank,2,Negatif
hi admin nanya jaringan daerah rmh lg gangguan gimana ya internet mati tp rmh tetangga yg jg pelanggan lancar aja tlg kejelasan bantuan nya,2,Positif
nih fungsi nya guys padat apapun kegiatan online ringan,2,Positif
ku main pake kadang ping nya merah terpaksa pake kuota,2,Negatif
selasa ngelakuin aktivitas positif,2,Negatif
lg bermasalah gmn,2,Negatif
gangguan,2,Negatif
kumat,2,Negatif
sampai deposit transfer berhenti langganan november bener nggak niat refund yah cc,2,Negatif
selasa produktif guys,2,Negatif
sumpa kenapaa ak les,2,Negatif
user ngerasa jaringan nya lemot bgt gak si sumpah dr kemarin gue gak ngirim foto wa njir,2,Negatif
tolong baca dm kirim teknisi dirumah internetnya gak bisaa,2,Positif
lemot bgt anj,2,Negatif
mah lemot nder kwkwk,2,Negatif
lemot bgt sih gue dr kemaren gabisa ngirim foto video twitter wa tele gatau kalo sosmed gini gak sih,2,Negatif
permisii knp error ya kerja nih bestii,2,Negatif
lupa stretching warrior pergerakan tubuh fit,2,Negatif
dri pagi jaringan nya nggak terhubung gegara los nya kedip merah mulu udah reset modem teteo kedip merah,2,Negatif
gue kenape aarrgghh,2,Negatif
selamat pagi rusak pagi mu dgn mengeluh pagi yg keseharian mu semangat yg penuh semangat,2,Positif
yt w gabisa ya,2,Negatif
wfh khawatir jaringan lelet,2,Negatif
tolong sinyal udh minggu lemot banget dm dibalesnya mention,2,Negatif
kemarin lemot bgt laptop gue ya allah,2,Negatif
yakali iseng banget ngeblock website cognitoform,2,Negatif
tsel gangguan kah,2,Negatif
stress banget lemot banget sih pas hujan asli gue gabisa ngapangapain tri rumah gue bar wkwkk tetep cepet,2,Positif
asli daritadi jelek bett jaringan ny,2,Negatif
sumpahh ganggu w streaming plis,2,Negatif
laporan wifi troubel,2,Negatif
jelek ya,2,Negatif
apadah ilang ilangan,2,Negatif
sore care pencabutan,2,Negatif
tolong kerja nya,2,Netral
mohon membutuhkan kekuatan indigo indiesunset menerjemahkan,2,Positif
asu masang wifi harian dancuk banget providernya,2,Negatif
kek kontol anjeng,2,Negatif
internet error mulu,2,Negatif
ngepet gangguan,2,Negatif
jg ya jaringan nya,2,Positif
knp sii kemaren gabisa trs wifinya anjir,2,Negatif
lemot stress preinstall slesainya abad,2,Negatif
tolol ngeribetin mulu kerjaan nya mahal gabecus tai,2,Negatif
juancok error disaat,2,Negatif
pln bikin capek doang emg,2,Negatif
halo min wifi jaringan internetnya tolong cek dm min,2,Negatif
lak pake soale buk,2,Negatif
erorr,2,Negatif
tag gmna,2,Negatif
weh knp sih,2,Negatif
bingung nyalahin twitter,2,Negatif
tsel emang jelek bgt sinyal nya kosan aja deh buka twt aja loadingnya banget,2,Negatif
sore malang hujan gabisa anak deh,2,Positif
error ya streaming,2,Negatif
anjgg cowo guee malahh loading,2,Negatif
udah ku hina,2,Negatif
ni ngapa si setan udh nunggu update gagal kali,2,Negatif
rusak gak,2,Negatif
error twitter,2,Negatif
oh twitter kirain maap suujon,2,Negatif
mjelek,2,Negatif
tower kau ancurin,2,Negatif
please fix your internet signal gue udah gak kuat banget,2,Negatif
tolong bersahabat ya,2,Positif
internet kalo udah hujan deres,2,Negatif
ya allah,2,Netral
gak macem,2,Negatif
geprek aja emang suka digeprek,2,Negatif
woy lag banget gabisa refresh mentab,2,Negatif
nih sih lemot banget dah ah,2,Negatif
sih bikin kesel,2,Negatif
monyet kebiasaan bgt kalo ujan langsung lemot,2,Negatif
asu,2,Negatif
error twt yg error,2,Negatif
twitter kirain yg eror,2,Negatif
anjing,2,Negatif
ngapasih caper,2,Negatif
jelek cuih,2,Negatif
download kecepatan maksimal coba barlangganan rasakan sensasi nya,2,Positif
lo knapa sintingg,2,Negatif
lemot ya,2,Negatif
deh,2,Netral
jelek,2,Negatif
sialan tbtb ngelag,2,Negatif
wifi lag bgt anjir,2,Negatif
ngga direstuin diving jelek banget dahk lu,2,Negatif
ngelag,2,Negatif
horor,2,Negatif
adaapa ku tolong cek,2,Negatif
ya allah ngajak ribut pls,2,Negatif
bayar nya internet kabel kak pilih,2,Negatif
jleg bgt,2,Negatif
kyk nya pln pulsa pdam tp cmiiw ya brader,2,Negatif
internetan jam non stop emang,2,Negatif
tolong lelet yy,2,Negatif
anak,2,Negatif
berhenti berlangganan gimana ya min,2,Positif
selamat siang berhenti berlangganan dibantu online terima kasih,2,Positif
bayar min,2,Netral
lemot e dungaren,2,Negatif
anj,2,Negatif
kalo terlambat bayar dikenakan denda gak kalo denda nya ya,2,Negatif
matii,2,Negatif
emang jaringan nya g bagus kah,2,Negatif
drama,2,Negatif
lu ngethrottle steam ya ajg,2,Negatif
goblok,2,Negatif
ga permintaan nambah kecepatan mbps tagihan gede piyee,2,Negatif
tolong wifi nya ngelag bgt anjir dipake ngegame,2,Negatif
lgi si indigo nyari ribut mulu deh,2,Negatif
lo ngeselin,2,Negatif
selamat siang warna merah los,2,Negatif
halo wifi dirumah bar nya full tp no connection tolong ditindaklanjuti ya min thankyou,2,Positif
sumpah gangguan wasalam bgt,2,Negatif
ya udah coba sesuai intruksi tdk mohon bantuan nya min,2,Negatif
goblok ngapain sih,2,Negatif
pls jan lemot pas kek wktu jan skrg,2,Negatif
nomor ganggungan jaringan makassar brp ya cari nomor google gak angkat,2,Negatif
pls laa w cape,2,Negatif
internet mati min,2,Negatif
lag,2,Negatif
hii ya udh coba sesuai intruksi dibawah ga tolong bantu terimakasih,2,Positif
sebenernya pake celana anak aja liat,2,Positif
gajelass,2,Negatif
wtf happend to u gabisa maen dota,2,Negatif
berulah guys nama yayan suryana nd internet nd voice berhenti langganan ruter diambil teknisi aja tagihan muncul meras wooy buka story nya,2,Negatif
why whyy,2,Negatif
napose lemot kon,2,Negatif
jg mz,2,Positif
kek tai,2,Negatif
kabel,2,Netral
gue lampu modem nya merah match ingame disconnect,2,Negatif
doyan main ml tpi kek tai,2,Negatif
gajelaass,2,Negatif
ku los ya,2,Negatif
lemot parah,2,Negatif
tai,2,Negatif
kenape dah,2,Negatif
sih internetnya kadang ilang,2,Negatif
knp lemot y,2,Negatif
duh mengecewakan sih,2,Negatif
pelayanan nya mengecewakan,2,Negatif
atv gak niatan berhentiin netron ape minimal wanda ralf,2,Negatif
anjir,2,Negatif
tolong kerjasamanya,2,Positif
lg anjir,2,Negatif
bagus aing ge pindah megapision,2,Negatif
gilee jaringan lalot bgtt parahh ihh,2,Negatif
jelekk bangeett,2,Negatif
ccd,2,Negatif
kumat ngentot,2,Negatif
asu pinter asu ne,2,Negatif
kabel jaringan telkom kayaknya coba infoin kw telkom,2,Positif
bpjs kesehatan aja ya error disuruh restart router bpjs error disuruh clear cachetemplate ya bun,2,Negatif
gini nih gak sahabatan buffering guys,2,Negatif
ako lemot bgt,2,Negatif
capek jd user,2,Netral
wow ya ldr an full jam gtu gak pake internet nya ngelag tuh,2,Negatif
leweih ka kabel sih,2,Negatif
mu lemot ga pren,2,Negatif
tobat anjir,2,Negatif
ya rumah beli kuota lemot banget pake wifi kalo gitu,2,Negatif
jgn berulah pwis,2,Negatif
omg pls deh,2,Negatif
awakening my violent impulses,2,Negatif
anjing lemot bgt,2,Negatif
maap ya emang bau banget,2,Negatif
middle finger,2,Negatif
aneh banget najis,2,Negatif
cek dm min urgent,2,Netral
cape banget gue jujur,2,Negatif
tolong urgent bgt wifi mati dr pagi smp skrg dipakai lampu berkedip restart tlg ya yg sekolah meeting,2,Negatif
yahh mas kemarin gada,2,Negatif
ga pake kak,2,Netral
mahal lelet licik,2,Negatif
banget bgstt buffering otak gue kaya pake internetan make,2,Negatif
nyangkut dikabel wifi,2,Negatif
sport today channel sea today bahas mandalika seru banget gak sih pastinya,2,Positif
min copot layanan udh ga yg pake mekanisme nya gmna ya tq,2,Negatif
kemarin ngelag banget nggak sih,2,Negatif
wifi ga stabil gimana yg pake tpi putus mulu,2,Negatif
kau knpasi,2,Negatif
sih ya allah,2,Negatif
hahaa plis bener bgt semoga gue ga main kyk kmrin,2,Negatif
tolong ya gw kelass,2,Negatif
tolong bantu down lokasi bandung,2,Negatif
halo selamat pagi min wifi eror ya router nyala kedip merah membayar tagihan,2,Negatif
kak ngeleg kakk,2,Negatif
paaggii yuukk yg hobi tiktokan hihihii lancar banget nih aq tiktokan internetnya pake,2,Positif
internet semalam mati min tolong solusi nya butuh banget nih id,2,Negatif
min cek dm mati semalem costumer care web offline,2,Negatif
min internet ya,2,Positif
min mohon bantuan nya knp kalo pake tdk connect cctv sdgkan kalo pake jaringan bisa,2,Negatif
tolong nih gue make speed yg mbps udeh mulu kemaren orang udah nawarin rumah gue kalo tetep langganan tolong kerjasamanya gue pindah nih,2,Positif
min help me internet jam internet ping speed bagus cuman jam internet,2,Negatif
berarti mati nih min,2,Negatif
jangan dimatiin dongg,2,Negatif
dari kemarin ngantri doang min gak pergerakan samaskali,2,Negatif
kapan min krumahnya,2,Positif
please cek dm min terkait kendala jaringan,2,Netral
tolong cek jaringan daerah sarua ciputat tangerang selatan krn connect,2,Negatif
halo mohon info nya internet mati jam,2,Negatif
aja jaringan gue bikin los gimana tolong kerjasama nya gue bayar kalo lu melayani konsumen mah kecewa gue jangan sampe gue pindah nih tolong respon gue urgent,2,Negatif
ayodong lakukan perbaikan kmaren loh laporkan blm diperbaiki ganggu aktivitas bgtt kerjaa,2,Negatif
bgt responnya pengaduan kmaren sampe skrg blm perbaikan kzll bgt ganggu bgt nggk ngerjain apa ayo cptan perbaiki,2,Negatif
internet matii yah tolong cek dm,2,Negatif
klo ping reply min situs nya aja gak id pelanggan dah dm,2,Negatif
udah ketiga wifinya mati gimana,2,Negatif
bikin dota gua abaddon hahaha,2,Positif
dota update gmn recon valorant jg packet loss salah server salah,2,Negatif
wkwk beralih langganan internet csnya bot susah jawaban nya template,2,Positif
halo kakk daerah pondok tjandra sidoarjo error ya pingnya ms mulu,2,Negatif
mjb ak jg pke tp kosan pke indihomo asuu kesaall,2,Negatif
halo min nyala ya sore udah dikasih tau call center gangguan t,2,Netral
halo min nyala ya sore udah dikasih tau call center gangguan sampe nyala,2,Positif
gangguan ya,2,Negatif
internet dah dimatiin wifi yg,2,Positif
ahh pls lemot nya jgn jam segini deh daring nyebelin banget,2,Negatif
komtol,2,Negatif
gembel,2,Negatif
ill say it sucks fase marah ga ngerjain kerjaan anjing lemot banget,2,Negatif
yaampun babik,2,Negatif
udah mentok kyknya ya dari jaman cakupan area nya ga perkembangan,2,Positif
sih cihanjuang cuman lg deadline loss please cbnmyrep kesini,2,Negatif
lo sadar kontolodon,2,Negatif
gangguan mulu dah sekarang,2,Negatif
kalo bole kelebihan dah bang,2,Negatif
fyp provider internet dirumah ganti,2,Negatif
pas dikasi kabar home buka promoan tarik kabel ya tentu saya berpaling koneksi stabil berkontribusi kestabilan emosi jg soal nya so far home terbaiq down time gara kabel pedot x resolve in less than h semua,2,Positif
sumpaah down mya banget ampe skrng blom beres beneran besok gw ngungsi nih kayaknya,2,Negatif
emang parah w cs onlinenya ga kooperatif ga tau knp yg disalahin tetangga sebelah,2,Negatif
buat yg dipelosok daya mau nya yg cuman ya nasib kalo gangguan seharian,2,Negatif
buset pagi ampe malem no internet gabisa akses internet samsek gimana nih,2,Negatif
lahh ko yaa giliran ko sepi aja baee,2,Negatif
hmm ga rame ya pdhal temen gue yg ngeluh nih,2,Positif
provider sampah,2,Negatif
sulit percaya yg jd penyelamat outage seharian,2,Positif
baca komennya ngeri banget dirugikan gara,2,Negatif
ayodong yg ngalamin keluhann speak up biar seruu,2,Positif
tuman lek mari udan mesti sinyal e ampas,2,Negatif
jelek bangett gakuat,2,Negatif
wah kaco banget pantes daritadi ngelag mulu,2,Negatif
lemot ya,2,Negatif
tunggu masuk depan langsung putusin dah wkwk,2,Negatif
pengguna kaya nya sial ya dibikin susah mulu,2,Negatif
keseringan gangguan ga sih,2,Negatif
min nya lemot bgt ciracas jakarta timur dm donk asap,2,Negatif
lg down,2,Netral
hari wifi sih tadi kantor indiehome lemot puol kos pake lelet,2,Negatif
iya anjmau compe di tgg payan dr siang ga bs payah lah,2,Negatif
sempet sempetnya down giliran tagihan aja full payment nih,2,Negatif
musim ujian uhb sma jatim gangguan mulu kena rudal rasya,2,Negatif
asww kapan ini bener gw dah bener,2,Negatif
iyaa bagus doang instlasi jutaan,2,Negatif
anjg lemot,2,Negatif
rekomen tp lemot masaa,2,Negatif
demi allah perang aja yuk,2,Positif
yaelah penyakit nyusahin orang nya ga sembuh njir,2,Negatif
aneh aja maen genshin impact aja ga gayaan ekspansi,2,Positif
gak sii dm coba biar arahin temen,2,Positif
ungkap penyebab utama layanan internetnya down,2,Negatif
fetish nya emang dirujak netizen deh,2,Negatif
tinggal nunggu aja melebarkan sayap pelosok gulung tikar dah,2,Positif
ini down aamaatt yaakk,2,Negatif
rata bagus sekali nya jelek mati total,2,Negatif
kaya kontol,2,Negatif
udah pilihan bener emang pindah,2,Negatif
banyak third party services diblock isp ini untung pindah,2,Negatif
cok monmaap nih lg ngaco ngelag,2,Negatif
sudah langganan cuma x lemot hujan lebat tapi sebentar aja selebihnya never complained asli sebagus itu but today beuuh hampir ndak percaya down gini but manusia ya,2,Negatif
iya nih rusuh ya,2,Positif
lu knp si mengajak berantem kh,2,Negatif
layanan internet dilaporkan down pengguna senin pagi wib pihak tanggapan gangguan ini,2,Positif
layanan dikeluhkan down ini penyebab nya,2,Positif
layanan internet dilaporkan down senin pagi pengguna mengeluh susah mengakses google streaming,2,Negatif
pagi ngelag anjir,2,Negatif
kontol kaga nyalanyala memek,2,Negatif
wth lemot parah drtd siang,2,Negatif
taii lemot bgt anj,2,Negatif
emang down liat tweet orang kaya gangguan anjir,2,Negatif
min knp ni lag parah id,2,Negatif
ini ngapa lemod bgt si,2,Negatif
doownn yaampun ku kira laptop ku yg kentang tau nya wifiku hadeh,2,Positif
tumbenan gangguan,2,Negatif
bikin emosi sih min,2,Negatif
koneksi nya jelek parah bgtt,2,Negatif
capek hati pakai baru langganan gangguan lebih trouble lancar nya sungguh kangen gig langganan trouble kali,2,Positif
saya pertanggungjawaban provider pelanggan internet yg gangguan berjamjam kali gangguan,2,Positif
benernya gak kerjaremote pc client pagi,2,Negatif
seninsenin ngeluh gw garagara gw ngeluh twitter aja dah,2,Negatif
trnyt nya gangguan link internasional,2,Negatif
diinformasikan sesuai notifikasi senin maret mengalami kendala perangkat jaringan internasional mengakibatkan penurunan performansi layanan internet arah server internasional berdampak akses server,2,Positif
pasang sabtu kemarin down rese bett,2,Negatif
lg error ya,2,Negatif
nape lemot bgt sih tumben,2,Negatif
senin mabukk email numpuk lemot banget tumbenan,2,Negatif
dh bayar mahal niehh jan down napa anjj,2,Negatif
oalahh down anjengg,2,Negatif
halo udah sejam jaringan rto,2,Negatif
lu lola banget tuhan,2,Negatif
sudah hari internet mati dan tidak ada solusi dari teknisi datang mengganti router dan di set password baru tapi tidak diinfokan meresahkan,2,Negatif
lo anjg bgt serius,2,Negatif
koneksi internet gue loyo banget dah kecewa,2,Negatif
karyawan monyet semua,2,Negatif
internet dunia dah cuman tiktok ama wasap doang ajg apenih tugas gua gimana kumpul nya nya trouble kah mas gen manggis gimana mas,2,Positif
down pas closing gini oii,2,Negatif
internet lambat,2,Netral
oh ampas ya pastes,2,Negatif
soal nya kalo dipake terusan daily gt jd bizpak neng,2,Negatif
aduh lemot banget pagi menghambat pekerjaan,2,Negatif
ampas banget gak gawee,2,Negatif
ok downn,2,Netral
sampe ya lemot,2,Negatif
setengah jam download ginian doang gabisa huu,2,Negatif
omg stress bgt ini byk kerjaan woy,2,Negatif
seriously senin sih internet nya problem,2,Negatif
lu jgn ngada gw kelasszz,2,Negatif
plis dah lemot xl gausa ikutan deh lu,2,Negatif
anjeengg,2,Negatif
ni gangguan yaelahh,2,Negatif
lemot parah,2,Negatif
