username,comment,comment_cleansing,predict_label
@mariasyarif884,"['orang', 'salah', 'komentar', 'terang', 'anggap', 'korban', 'lancar', 'no', 'komen', 'korban']",orang salah komentar terang anggap korban lancar no komen korban,Positif
@carsahamdaniofficial,"['ribu', 'pulung', 'bantargebang', 'cari', 'uang', 'ribu', 'susah', 'payah', 'pilah', 'sampah', 'penuh', 'sakit', 'orang', 'uang', 'trilyunan', 'makan', 'jabat', 'rakyat', 'doa', 'hidup', 'pulung']",ribu pulung bantargebang cari uang ribu susah payah pilah sampah penuh sakit orang uang trilyunan makan jabat rakyat doa hidup pulung,Negatif
@IdeKreatif1814,"['tegar', 'mental', 'kuat', 'moga', 'uji', 'kelas', 'doa', 'allah', 'swt', 'maha']",tegar mental kuat moga uji kelas doa allah swt maha,Positif
@mahdinafi4393,"['korupsi', 'indonesia', 'bangkrut']",korupsi indonesia bangkrut,Negatif
@Mr4ngg4,"['semangat', 'tegar', 'karen', 'tabir', 'buka', 'bicara', 'ungkap', 'benar']",semangat tegar karen tabir buka bicara ungkap benar,Positif
@nihnu-q7m,"['anja', 'metrotv', 'wakil', 'gemar', 'bola']",anja metrotv wakil gemar bola,Negatif
@pramistyo5025,"['rugi', 'rakyat', 'negara', 'negara', 'untung']",rugi rakyat negara negara untung,Negatif
@cokhro7228,"['karen', 'laku', 'jadi', 'tumbal']",karen laku jadi tumbal,Negatif
@syamsulusroqusroq3148,"['mantap', 'teks', 'jujur', 'hati', 'tinggal', 'tunggu', 'kawan', 'teman', 'sel']",mantap teks jujur hati tinggal tunggu kawan teman sel,Positif
@angelachali3772,"['gen', 'reporter', 'be', 'like']",gen reporter be like,Netral
@bvp79,"['china', 'model', 'hukum', 'berantas', 'korupsi', 'indonesia', 'tak', 'contoh', 'alas', 'ham']",china model hukum berantas korupsi indonesia tak contoh alas ham,Negatif
@revachocolate2216,"['nyala', 'abang', 'ku', 'reporter', 'terus']",nyala abang ku reporter terus,Positif
@munawirwin9918,"['tuntut', 'jaksa', 'rp', 'hukum', 'penjara', 'rp', 'hukum', 'penjara']",tuntut jaksa rp hukum penjara rp hukum penjara,Negatif
@UPrab-qj8ei,"['uu', 'sita', 'aset', 'bkm', 'sahkan', 'koruptor', 'hukum', 'mati', 'jagung', 'bantu', 'kpk', 'korupsi', 'hilang', 'negeri', 'hukum', 'laku', 'ringan', 'negeri', 'salut', 'jagung']",uu sita aset bkm sahkan koruptor hukum mati jagung bantu kpk korupsi hilang negeri hukum laku ringan negeri salut jagung,Negatif
@KutuMetal-j8o,"['konspirasi', 'tumbal', 'tutup', 'rahasia', 'besar']",konspirasi tumbal tutup rahasia besar,Negatif
@aldiapriansyah9305,"['gosong', 'cheff']",gosong cheff,Negatif
@nelsonbida9958,"['teriak', 'ahklak', 'bawah', 'enggak', 'ahklak']",teriak ahklak bawah enggak ahklak,Negatif
@dhanielmanurung3415,"['tonton', 'metro', 'tv']",tonton metro tv,Positif
@BliBilly,"['berani', 'mantap', 'admin', 'metro']",berani mantap admin metro,Positif
@habib.af75,['lindung'],lindung,Netral
@aisyahmubarak8614,"['sabar', 'karen', 'allah', 'lindung', 'mu', 'zolim', 'laknat', 'allah', 'aamiinn']",sabar karen allah lindung mu zolim laknat allah aamiinn,Negatif
@wisastragoesty7249,"['karen', 'berani', 'buka', 'amin']",karen berani buka amin,Positif
@HBudionoHMBA,"['benar', 'buruk', 'benar', 'buruk', 'muncul', 'buka', 'pertamina', 'karen', 'jabat', 'semat', 'jabat', 'bagus', 'reputasi', 'cemerlang']",benar buruk benar buruk muncul buka pertamina karen jabat semat jabat bagus reputasi cemerlang,Negatif
@Istimevva,"['orang', 'jujur', 'lugas', 'bohong', 'tele', 'cari', 'benar', 'lugas', 'dann', 'gesture', 'wajar', 'jujur', 'tahan', 'beban']",orang jujur lugas bohong tele cari benar lugas dann gesture wajar jujur tahan beban,Positif
@Mr.Brick1359,"['absolute', 'cema']",absolute cema,Negatif
@fariez26,"['bangga', 'kerja', 'pertamina', 'halo', 'kabar']",bangga kerja pertamina halo kabar,Positif
@zhaggychannel3783,"['jagung', 'kerja', 'kpk', 'sesuai', 'pesan']",jagung kerja kpk sesuai pesan,Positif
@mr.robert2334,"['asik', 'nih', 'metro', 'wkwk', 'auto', 'subscribe']",asik nih metro wkwk auto subscribe,Positif
@Gavchky,"['sangka', 'korupsi', 'kasihan', 'tua', 'pikul', 'tanggung', 'berat', 'tindak', 'laku']",sangka korupsi kasihan tua pikul tanggung berat tindak laku,Negatif
@heriaryanto5621,"['pln', 'rakyat', 'bayar', 'rugi', 'alas', 'kemarin', 'diskon', 'dekade', 'apa', 'alas', 'pelihara', 'pemabngunan', 'anggar', 'kucur', 'subsidi', 'perintah', 'janggal', 'ratus', 'triliun', 'hal', 'bumn']",pln rakyat bayar rugi alas kemarin diskon dekade apa alas pelihara pemabngunan anggar kucur subsidi perintah janggal ratus triliun hal bumn,Negatif
@hannibal_smith851,"['intonasi', 'gestur', 'mikro', 'ekspresi', 'tekan', 'perintah', 'main', 'mafia']",intonasi gestur mikro ekspresi tekan perintah main mafia,Negatif
@Djumhana-e7r,"['adakan', 'olimpiade', 'dunia', 'cabang', 'koropsi', 'peringkat', 'dunia', 'moga', 'pertamina', 'rengking', 'dunia', 'juara', 'moga', 'indonesia', 'maju', 'hal', 'pengkoropsian', 'dunia']",adakan olimpiade dunia cabang koropsi peringkat dunia moga pertamina rengking dunia juara moga indonesia maju hal pengkoropsian dunia,Positif
@kadhiiom6858,"['uu', 'rampas', 'asset', 'sahkan', 'makmur', 'rakyat']",uu rampas asset sahkan makmur rakyat,Positif
@kangklnx,"['bro', 'masak']",bro masak,Netral
@LaokKelana,"['negara', 'indonesia', 'solusi', 'koruptor', 'rugi', 'negara', 'jalan', 'sah', 'undang', 'hukum', 'mati', 'miskin']",negara indonesia solusi koruptor rugi negara jalan sah undang hukum mati miskin,Negatif
@AetherRim,"['pucuk', 'dingin', 'bos']",pucuk dingin bos,Negatif
@1360CLAN,"['kawal', 'presenternya', 'enggak', 'hilang']",kawal presenternya enggak hilang,Negatif
@husamudin2712,"['kayak', 'negeri', 'uang', 'negara', 'rampok', 'ugal', 'an', 'bangsa', 'tuhan', 'sayang']",kayak negeri uang negara rampok ugal an bangsa tuhan sayang,Negatif
@novaprime8972,"['gestur', 'kalo', 'orang', 'benar', 'salah', 'cenderung', 'hindar', 'awak', 'media', 'kalo', 'karen', 'lama', 'media', 'jelas', 'mantap', 'mikir', 'tanda', 'jelas', 'dasar', 'realita', 'alam', 'konstruk', 'sayang', 'guru', 'besar', 'harvard', 'jadi', 'tumbal']",gestur kalo orang benar salah cenderung hindar awak media kalo karen lama media jelas mantap mikir tanda jelas dasar realita alam konstruk sayang guru besar harvard jadi tumbal,Negatif
@yeniyeni7191,"['mbak', 'karen', 'keren', 'argumentasi', 'analaysis', 'profit', 'implementasi', 'runut', 'terstrukstur', 'ukur', 'cepat', 'moga', 'jahat', 'kerah', 'putih', 'tumpas', 'dibrantas', 'pucuk', 'akar', 'indonesia', 'adil', 'makmur', 'sejahtera', 'moga']",mbak karen keren argumentasi analaysis profit implementasi runut terstrukstur ukur cepat moga jahat kerah putih tumpas dibrantas pucuk akar indonesia adil makmur sejahtera moga,Positif
@dianasutyoso6461,"['takut', 'usaha', 'besar', 'indonesia', 'usaha', 'baik', 'negara', 'ikut', 'perintah', 'salah', 'caplok', 'korban', 'sayang', 'semangat', 'karen']",takut usaha besar indonesia usaha baik negara ikut perintah salah caplok korban sayang semangat karen,Positif
@valdianapart2,"['bawa', 'berita', 'baik']",bawa berita baik,Positif
@Maini_otodidax,"['moga', 'allah', 'swt', 'lindung', 'suka', 'mendzolimi', 'ingat', 'sesuai', 'laku']",moga allah swt lindung suka mendzolimi ingat sesuai laku,Negatif
@DaengAlle15,"['rakyat', 'mu']",rakyat mu,Negatif
@subandiman6238,"['maju', 'koruptor', 'jajah', 'koruptor', 'negeri', 'jabat', 'nih', 'rakyat', 'indonesia', 'tolong', 'sejahtera', 'rakyat', 'jelata']",maju koruptor jajah koruptor negeri jabat nih rakyat indonesia tolong sejahtera rakyat jelata,Positif
@KenkoHarru-p1w,"['wakanda', 'korupsi', 'enggak', 'nanggung', 'bos', 'gidik', 'bulu', 'kuduk', 'angka', 'fantastis', 'bravo', 'koruptor', 'biadab']",wakanda korupsi enggak nanggung bos gidik bulu kuduk angka fantastis bravo koruptor biadab,Negatif
@hadidarma2075,"['hebat', 'jaksa', 'berani', 'tetap', 'bos', 'minyak', 'enggak', 'sentuh', 'hukum']",hebat jaksa berani tetap bos minyak enggak sentuh hukum,Negatif
@kosakata8632,"['kalo', 'perintah', 'jabat', 'mending', 'mundur', 'pensiun']",kalo perintah jabat mending mundur pensiun,Negatif
@iisan1,"['sopan', 'semat', 'jas', 'korupsi', 'beri', 'gelang', 'tangan', 'sangka', 'kompak', 'social', 'distancing', 'pakai', 'masker', 'salut']",sopan semat jas korupsi beri gelang tangan sangka kompak social distancing pakai masker salut,Positif
@kisraofficial3820,"['laksana', 'laku', 'utama', 'ngopi', 'tonton', 'berita', 'baca', 'komentar', 'netizen']",laksana laku utama ngopi tonton berita baca komentar netizen,Positif
@onedypictures2575,"['kpk', 'sulit', 'percaya']",kpk sulit percaya,Negatif
@nginx404_not_found6,['gelap'],gelap,Negatif
@hafidzah2011,"['dpr', 'sahkan', 'undang', 'rampas', 'aset', 'koruptor']",dpr sahkan undang rampas aset koruptor,Negatif
@istiyo235,"['korupsi', 'rugi', 'besar', 'korporasi', 'skenario', 'dalang', 'balik', 'jabat', 'jerat', 'laku', 'habis', 'tegiur', 'nikmat']",korupsi rugi besar korporasi skenario dalang balik jabat jerat laku habis tegiur nikmat,Negatif
@Suara.Rakyat2023,"['lihat', 'gamblang', 'lurus', 'doa', 'tegar', 'allah', 'tolong']",lihat gamblang lurus doa tegar allah tolong,Positif
@misradi9244,"['orang', 'jujur', 'korbann', 'moga', 'azab', 'janji', 'cipta', 'cepat', 'amin']",orang jujur korbann moga azab janji cipta cepat amin,Positif
@aha2808,"['inshaalloh', 'karen', 'jalan', 'lurus', 'bongkar', 'habis', 'otak', 'korupsi', 'pertamnia']",inshaalloh karen jalan lurus bongkar habis otak korupsi pertamnia,Negatif
@yatnayatna5204,"['dukung', 'bongkar', 'koruptor']",dukung bongkar koruptor,Negatif
@asihwidayati9243,"['moga', 'benar', 'ungkap', 'tegar', 'kayak', 'plate', 'bts']",moga benar ungkap tegar kayak plate bts,Negatif
@suhaemimachmir7858,"['korek', 'akar', 'akar', 'jaring', 'korupsi']",korek akar akar jaring korupsi,Negatif
@mariaalqibtiyaa143,"['percaya', 'jelas', 'karen', 'insya', 'allah', 'benar', 'muncul', 'juang', 'allah', 'orang', 'sabar']",percaya jelas karen insya allah benar muncul juang allah orang sabar,Negatif
@JodekaBimo-mv8el,"['karen', 'hebat', 'buka', 'orang', 'karen', 'keren', 'buka', 'lebar', 'lebar']",karen hebat buka orang karen keren buka lebar lebar,Positif
@syarifhidayatul2597,"['sopan', 'tangan', 'maling', 'dasi', 'beda', 'kalo', 'nanganin', 'maling']",sopan tangan maling dasi beda kalo nanganin maling,Negatif
@suhaemimachmir7858,"['bravo', 'jaksa', 'agung', 'ri']",bravo jaksa agung ri,Netral
@MOJA-RF-DP8,"['metro', 'tv', 'memasakk']",metro tv memasakk,Positif
@umayahsamsoel1075,"['kpk', 'firly', 'penting', 'murni', 'berantas', 'korupsi', 'sabar', 'orang', 'enggak', 'korupsi', 'cari', 'salah']",kpk firly penting murni berantas korupsi sabar orang enggak korupsi cari salah,Positif
@edyroes6083,"['moga', 'sehat', 'semangat']",moga sehat semangat,Positif
@nouveleffendi565,"['bongkar', 'tuntas', 'karen']",bongkar tuntas karen,Negatif
@bijaijah523,"['takngkap', 'presiden', 'biar', 'pura', 'enggak', 'cuci', 'tangan']",takngkap presiden biar pura enggak cuci tangan,Negatif
@cokiMoy,"['rugi', 'negara', 'besar', 'rugi', 'rakyat', 'mengunakan', 'minyak', 'parah', 'hukum', 'berat', 'berat']",rugi negara besar rugi rakyat mengunakan minyak parah hukum berat berat,Negatif
@wanabi-e5n,"['merdu', 'merdu', 'nyanyi', 'papan', 'moga', 'nyanyi', 'merdu', 'buka', 'benar', 'bungkam', 'kutu', 'busuk', 'semangat']",merdu merdu nyanyi papan moga nyanyi merdu buka benar bungkam kutu busuk semangat,Positif
@ApeApen,"['mantap', 'tegar', 'semangat', 'lugas', 'bongkar', 'biar', 'korban', 'sabar', 'sehat', 'sau', 'keluarga', 'tabah', 'ikhlas', 'terima', 'uji', 'amin', 'yra']",mantap tegar semangat lugas bongkar biar korban sabar sehat sau keluarga tabah ikhlas terima uji amin yra,Positif
@shine0445,"['koruptor', 'negeri', 'blas', 'enggak', 'takut', 'malu', 'hukum', 'enggak', 'laku', 'jera']",koruptor negeri blas enggak takut malu hukum enggak laku jera,Negatif
@alexayeoraffa2252,"['indonesia', 'enggak', 'orang', 'pintar', 'orang', 'jujur', 'indonesia', 'kondisi', 'bahaya', 'korupsi', 'budaya', 'baruh', 'hukum', 'koruptor', 'hukum', 'mati']",indonesia enggak orang pintar orang jujur indonesia kondisi bahaya korupsi budaya baruh hukum koruptor hukum mati,Negatif
@jasajoky,"['ku', 'tunggu', 'nyanyi', 'merdu', 'mu']",ku tunggu nyanyi merdu mu,Positif
@radiabdulazis2666,"['profesional', 'orang', 'suka', 'celah', 'titik', 'lemah', 'orang', 'serang', 'silaturahmi', 'tanda', 'kutip', 'aman', 'profesional']",profesional orang suka celah titik lemah orang serang silaturahmi tanda kutip aman profesional,Positif
@samueldorgis9359,"['ayo', 'dahlan', 'karen', 'buka', 'hal', 'tuduh', 'pres', 'inpres', 'arti', 'tri', 'bumn', 'komisaris', 'korporasi', 'bongkar', 'masy', 'main', 'mafia', 'migas', 'level', 'kuasa']",ayo dahlan karen buka hal tuduh pres inpres arti tri bumn komisaris korporasi bongkar masy main mafia migas level kuasa,Negatif
@surabayasurabaya89,"['moga', 'karen', 'sehat']",moga karen sehat,Positif
@kobenilman182,"['karen', 'nyaman', 'babat', 'habis', 'wartawan', 'sayang', 'wawancara', 'batas']",karen nyaman babat habis wartawan sayang wawancara batas,Positif
@ahmadgojali5451,"['karen', 'tau', 'kna', 'tumbal', 'ekspresi', 'wajah', 'wajah', 'orang', 'jujur', 'moga', 'umur', 'sehat', 'kak', 'selamat', 'lancar', 'tagan', 'mudahn', 'tahu', 'jahat', 'koruptor', 'amien', 'allah', 'robbalalamin']",karen tau kna tumbal ekspresi wajah wajah orang jujur moga umur sehat kak selamat lancar tagan mudahn tahu jahat koruptor amien allah robbalalamin,Positif
@Kaka_Sun_Tasik,"['kasih', 'berita', 'tuh', 'vulgar', 'berani', 'alih', 'isu', 'mulu', 'kasihan', 'masyarakat', 'bodoh']",kasih berita tuh vulgar berani alih isu mulu kasihan masyarakat bodoh,Negatif
@RahmatNata-q3j,"['terima', 'kasih', 'bapak', 'jagung', 'ri', 'action', 'bahagia', 'bangga', 'rakyat', 'nkri', 'habisin', 'bersih', 'akar', 'khianat', 'rakyat', 'b', 'e', 'a', 'l', 'bangsa', 'negara', 'b', 'r', 'a', 'v', 'o', 'e', 'a', 'enggak', 'a', 't', 'salam', 'rahayu']",terima kasih bapak jagung ri action bahagia bangga rakyat nkri habisin bersih akar khianat rakyat b e a l bangsa negara b r a v o e a enggak a t salam rahayu,Positif
@ghazi283,"['orang', 'pandai', 'kecimpung', 'dunia', 'migas', 'jasa', 'sektor', 'migas', 'dipolitisir', 'penting', 'politik', 'golong']",orang pandai kecimpung dunia migas jasa sektor migas dipolitisir penting politik golong,Positif
@Gun-cu4vn,"['bersih', 'maju', 'biang', 'kerok', 'ketemu', 'rakyat', 'doa', 'orang', 'bersih', 'moga', 'cepat', 'selsai', 'amin', 'yra']",bersih maju biang kerok ketemu rakyat doa orang bersih moga cepat selsai amin yra,Positif
@adiwijayanto5561,"['bismillah', 'moga', 'sehat', 'sabar', 'jalan', 'tunjuk']",bismillah moga sehat sabar jalan tunjuk,Positif
@trihidayati4422,"['mantap', 'karen', 'wanita', 'tangguh', 'berani', 'moga', 'kuat', 'terima', 'uji', 'berat']",mantap karen wanita tangguh berani moga kuat terima uji berat,Positif
@mikoLea,"['mohon', 'informasi', 'pertamax', 'pertamina', 'edar', 'oplos']",mohon informasi pertamax pertamina edar oplos,Netral
@WawanHermawan-es8uj,"['impor', 'pertalite', 'jual', 'pertamax', 'konsumen', 'rugi', 'beli', 'pertamax', 'isi', 'pertalite']",impor pertalite jual pertamax konsumen rugi beli pertamax isi pertalite,Positif
@apulpsimorangkir7877,"['moga', 'pintu', 'masuk', 'ungkap', 'laku', 'utama', 'kuasa', 'bisnis', 'minyak', 'pertamina', 'orang', 'generasi', 'laku', 'utama', 'akar']",moga pintu masuk ungkap laku utama kuasa bisnis minyak pertamina orang generasi laku utama akar,Positif
@gabrielmaliq,"['teks', 'hapal', 'lugas', 'tatap', 'penuh', 'yakin', 'mencla', 'mencle']",teks hapal lugas tatap penuh yakin mencla mencle,Negatif
@waprasetyo6855,"['semangat', 'moga', 'allah', 'swt', 'kasih', 'jalan', 'baik', 'keluarga', 'jabat', 'juang', 'penting', 'rakyat']",semangat moga allah swt kasih jalan baik keluarga jabat juang penting rakyat,Positif
@christinesugito2561,"['rampok', 'jamaah', 'libat', 'laku', 'rugi', 'konsumen', 'jangka', 'rampok', 'negara', 'bangkrut']",rampok jamaah libat laku rugi konsumen jangka rampok negara bangkrut,Positif
@Aldi__mil,"['korupsi', 'korupsi', 'korupsi', 'kecil', 'kalo', 'tuntut', 'rendah', 'enggak', 'peka', 'enggak', 'takut', 'rakyat', 'kena', 'akibat', 'enggak', 'salah', 'negara', 'demokrasi']",korupsi korupsi korupsi kecil kalo tuntut rendah enggak peka enggak takut rakyat kena akibat enggak salah negara demokrasi,Negatif
@MEDIAARMY,"['hukum', 'mati', 'korupsi']",hukum mati korupsi,Negatif
@rajabatik4904,"['ibuk', 'kuat', 'salah']",ibuk kuat salah,Negatif
@ary1ststyowati291,"['allah', 'uang', 'rakyat', 'bingung', 'cari', 'kerja', 'cari', 'uang', 'cari', 'makan']",allah uang rakyat bingung cari kerja cari uang cari makan,Positif
@papapjoshua3563,"['karen', 'korban', 'rezim', 'laknat']",karen korban rezim laknat,Negatif
@BajJangNur,"['ayo', 'kare', 'bongkar', 'mu', 'negeri', 'indonesia', 'maju', 'merdekaa']",ayo kare bongkar mu negeri indonesia maju merdekaa,Positif
@aremajaya6189,"['kalo', 'mau', 'pribadi', 'seret', 'sangkut', 'biar', 'tuntas']",kalo mau pribadi seret sangkut biar tuntas,Positif
@bambangjanuarwinarto2642,"['akibat', 'tindak', 'bawa', 'pidana', 'tindak', 'oplos', 'akibat', 'rugi', 'rakyat', 'tindak', 'laku', 'ganti', 'rugi', 'rakyat', 'indonesia', 'tipu', 'sesuai', 'beli', 'itu', 'ganti', 'rugi', 'rakyat', 'indonesia', 'laku']",akibat tindak bawa pidana tindak oplos akibat rugi rakyat tindak laku ganti rugi rakyat indonesia tipu sesuai beli itu ganti rugi rakyat indonesia laku,Negatif
@budimansitorus4373,"['putus', 'korupsi']",putus korupsi,Negatif
@Alok99daimen-iq8cn,"['beda', 'jos', 'metro', 'tv']",beda jos metro tv,Negatif
@meirzarousvianto2372,"['sedih', 'buu', 'degar', 'dengar', 'karen', 'bebas', 'hukum', 'senang', 'salah', 'putri', 'baik', 'indonesia', 'moga', 'lewat', 'coba', 'kuat', 'allah', 'swt', 'bukti', 'sidang', 'karen']",sedih buu degar dengar karen bebas hukum senang salah putri baik indonesia moga lewat coba kuat allah swt bukti sidang karen,Positif
@1030type,"['dirutnya', 'produksi', 'kilang', 'turunin', 'biar', 'open', 'impor', 'minyak', 'mentah', 'kenyang', 'pertalite', 'oplos', 'jual', 'pakai', 'harga', 'pertamax', 'sektor', 'minyak', 'beras', 'gula', 'masyarakat', 'gamblang', 'lihat', 'mafia', 'terima', 'kasih', 'orang', 'nangkep']",dirutnya produksi kilang turunin biar open impor minyak mentah kenyang pertalite oplos jual pakai harga pertamax sektor minyak beras gula masyarakat gamblang lihat mafia terima kasih orang nangkep,Positif
@Sapu-sapu.official,['kelazz'],kelazz,Negatif
@Luxire_yomeware,['suka'],suka,Netral
@fredoaji9539,"['perempuan', 'lancar', 'sistematis', 'hindar', 'belit', 'hebat', 'wawancara', 'mudah', 'proses', 'hukum', 'jujur', 'objektif']",perempuan lancar sistematis hindar belit hebat wawancara mudah proses hukum jujur objektif,Negatif
@PanglimaPejuang,"['selidik', 'telkomsel', 'audit', 'telkomsel']",selidik telkomsel audit telkomsel,Positif
@sayidhelmy610,"['sita', 'assetnya', 'uu', 'rampas', 'asset', 'cepat', 'sahkan', 'dpr', 'miskin', 'koruptor', 'terima kasih']",sita assetnya uu rampas asset cepat sahkan dpr miskin koruptor terima kasih,Positif
@dodokdai4208,"['moga', 'kuasa', 'dzalim', 'kena', 'adzab']",moga kuasa dzalim kena adzab,Negatif
@esaefullah965,"['hukum', 'mati', 'suruh', 'minum', 'pertamax', 'pertalite', 'negara', 'rugi', 'juta', 'konsumen', 'tipu', 'rugi', 'buat', 'pertanggungjawaban', 'pertamina']",hukum mati suruh minum pertamax pertalite negara rugi juta konsumen tipu rugi buat pertanggungjawaban pertamina,Negatif
@iwanibo0710,"['hukum', 'gantung', 'bos', 'korupsi']",hukum gantung bos korupsi,Negatif
@rudika2095,"['tenang', 'kah', 'wajah', 'koruptor']",tenang kah wajah koruptor,Negatif
@RevaNur-i6i,"['kasihan', 'karen', 'kambing', 'hitam', 'firli', 'ulang', 'eksekutor']",kasihan karen kambing hitam firli ulang eksekutor,Negatif
@galileogalilei8213,"['wenang', 'ambil', 'bijak', 'jabat', 'publik', 'ranah', 'pidana', 'korupsi', 'bukti', 'alir', 'dana', 'rekening', 'pribadi', 'ngeri', 'model', 'tegak', 'hukum', 'indonesia', 'mudah', 'kriminalisasi', 'jabat', 'publik', 'naik', 'popularitas', 'institusi', 'heran', 'jabat', 'publik', 'pasif', 'enggan', 'ambil', 'putus', 'putus', 'salah', 'bisnis', 'risiko', 'kriminalisasi', 'kpk', 'jaksa']",wenang ambil bijak jabat publik ranah pidana korupsi bukti alir dana rekening pribadi ngeri model tegak hukum indonesia mudah kriminalisasi jabat publik naik popularitas institusi heran jabat publik pasif enggan ambil putus putus salah bisnis risiko kriminalisasi kpk jaksa,Positif
@Sukarji-z1g,"['mantap', 'jagung', 'kpk', 'moga', 'kerja', 'amanah', 'jujur', 'buka', 'sejahtera', 'masyarakat', 'indonesia']",mantap jagung kpk moga kerja amanah jujur buka sejahtera masyarakat indonesia,Positif
@NgajiMedsoS,"['tolong', 'karen', 'jaga', 'awas', 'menu', 'makan', 'tahan', 'mafia', 'migas', 'racun', 'karen']",tolong karen jaga awas menu makan tahan mafia migas racun karen,Positif
@ishamare739,"['nyala', 'shell', 'kuhh']",nyala shell kuhh,Negatif
@2000get,"['hormat', 'jaksa', 'agung', 'hakim', 'tegak', 'hukum', 'proses', 'hukum', 'berat', 'miskin', 'sita', 'aset', 'ajar', 'khianat', 'negara', 'langgar', 'undang', 'keruk', 'kaya', 'bumi', 'pertiwi', 'kaya', 'pribadi', 'khianat', 'cita', 'bangsa']",hormat jaksa agung hakim tegak hukum proses hukum berat miskin sita aset ajar khianat negara langgar undang keruk kaya bumi pertiwi kaya pribadi khianat cita bangsa,Positif
@MaatZ_77,"['metro', 'masak']",metro masak,Negatif
@surolawe2222,"['bebas', 'perintah', 'atur']",bebas perintah atur,Positif
