username,comment,comment_cleansing
@almariasiagian1832,"['pertalite', 'langka', 'omg', 'oplos', 'pertamax', 'rakyat', 'sulit', 'pakde', 'rampas', 'harta', 'miskin']",pertalite langka omg oplos pertamax rakyat sulit pakde rampas harta miskin
@baytv5108,"['kah', 'negeri', 'ku']",kah negeri ku
@alimurtado2980,"['kolo', 'korupsi', 'triliun', 'bahaya', 'negara', 'perintah', 'uu', 'hukum', 'mati']",kolo korupsi triliun bahaya negara perintah uu hukum mati
@miskanmiskan2224,"['pokok', 'kait', 'import', 'cek', 'tri', 'kait', 'duga', 'kongkalikong', 'mark', 'up', 'rente', 'usaha', 'gula', 'beras', 'daging', 'susu', 'garam', 'mesin', 'garuda', 'alutsista', 'tni', 'polri', 'emas', 'antam', 'minyak', 'pertamina', 'dlsb']",pokok kait import cek tri kait duga kongkalikong mark up rente usaha gula beras daging susu garam mesin garuda alutsista tni polri emas antam minyak pertamina dlsb
@tediBahtiar-k5n,"['rahasia', 'sub', 'holding', 'department', 'jabat', 'mafia', 'uswauhasanah']",rahasia sub holding department jabat mafia uswauhasanah
@cenel-dw9ld,"['binatang', 'hama']",binatang hama
@natanchannel1127,['bangkai'],bangkai
@cinelliestrada3228,"['tanda', 'bobrok', 'jabat', 'mana', 'usaha', 'wajib', 'audit', 'minimal', 'tahun', 'auditor', 'main']",tanda bobrok jabat mana usaha wajib audit minimal tahun auditor main
@SangJuara77,"['hukum', 'mati', 'jabat', 'indak', 'hati', 'makan', 'irit', 'sambung', 'hidup', 'pati', 'kemarin', 'curi', 'pisang', 'makan']",hukum mati jabat indak hati makan irit sambung hidup pati kemarin curi pisang makan
@MIrfan-pz6fw,"['kaya', 'negara', 'hancur', 'oknum', 'tanggung']",kaya negara hancur oknum tanggung
@sitimarifatulislamiyah3984,"['indonesia', 'korupsi', 'mulu', 'biadab']",indonesia korupsi mulu biadab
@DeniAzalea-rw6ln,"['ayo', 'class', 'action']",ayo class action
@pudyastuti5362,"['wajah', 'wajah', 'kriminal']",wajah wajah kriminal
@gunawantea9104,"['sahkan', 'rampas', 'aset', 'hukum', 'mati', 'koruptor']",sahkan rampas aset hukum mati koruptor
@Galang-x2j,"['sektor', 'korupsi', 'indonesia', 'kacau']",sektor korupsi indonesia kacau
@mozarta7736,"['sri', 'mul', 'tuh', 'sebab', 'pertamina', 'lu', 'minus', 'lu', 'apa']",sri mul tuh sebab pertamina lu minus lu apa
@novalpandolo,"['teriak', 'koruptor', 'hukum', 'mati', 'enggak', 'salah', 'nyuri', 'pisang', 'suruh', 'jalan', 'keliling', 'kampung', 'kasihan', 'enggak', 'tega', 'mimpi']",teriak koruptor hukum mati enggak salah nyuri pisang suruh jalan keliling kampung kasihan enggak tega mimpi
@nilapky1810,"['uu', 'rampas', 'aset', 'harusnyaa', 'sahkan', 'dpr', 'enggak', 'berani']",uu rampas aset harusnyaa sahkan dpr enggak berani
@noyancejohan2211,"['mensahkan', 'uu', 'rampas', 'aset', 'koruptor', 'miskin', 'koruptor']",sah uu rampas aset koruptor miskin koruptor
@foxxyTD,"['bukti', 'hukum', 'koruptor', 'korupsi', 'enggak', 'ngotak', 'rame', 'vonis', 'sopan', 'remisi', 'bebas', 'duit', 'hasil', 'korupsi', 'nyisa', 'rasa', 'hebat', 'koruptor', 'negeri']",bukti hukum koruptor korupsi enggak ngotak rame vonis sopan remisi bebas duit hasil korupsi nyisa rasa hebat koruptor negeri
@APB_12,"['rampas', 'harta', 'tembak', 'mati']",rampas harta tembak mati
@andalusia477,"['enggak', 'hukum', 'mati', 'korupsi', 'tak', 'berantas', 'jabat', 'tak', 'lolos', 'rampas', 'aset', 'hukum', 'mati', 'koruptor', 'tanggung', 'akhirat', 'kelak']",enggak hukum mati korupsi tak berantas jabat tak lolos rampas aset hukum mati koruptor tanggung akhirat kelak
@farishatmoyo6033,"['allah', 'jahat', 'sd', 'bbm', 'naik', 'korupsi', 'terima', 'kasih', 'jaksa', 'agung', 'tangkap', 'tikus', 'negara']",allah jahat sd bbm naik korupsi terima kasih jaksa agung tangkap tikus negara
@PrayogaArdiyansah-rr6zw,"['hukum', 'mati', 'wajib', 'kalo', 'enggak', 'hukum', 'mati', 'indonesia', 'bebas', 'korupsi']",hukum mati wajib kalo enggak hukum mati indonesia bebas korupsi
@tukangsirkus,"['muka', 'santui']",muka santui
@bettyartiho3003,"['tuh', 'omon', 'tangkap', 'koruptor', 'enggak', 'antartika', 'coba', 'bukti', 'tindak', 'omon', 'jaksa', 'kpk', 'polisi']",tuh omon tangkap koruptor enggak antartika coba bukti tindak omon jaksa kpk polisi
@music4you746,"['muak', 'berita', 'geruduk', 'rame', 'deh', 'orang', 'enggak', 'hukum', 'timpal', 'brengsek', 'sumpah']",muak berita geruduk rame deh orang enggak hukum timpal brengsek sumpah
@HeriusUus,"['beli', 'pertamax', 'asli', 'oplos', 'maling']",beli pertamax asli oplos maling
@devilmaycries,"['pertamina', 'pln', 'ladang', 'korupsi', 'tikus', 'dasi']",pertamina pln ladang korupsi tikus dasi
@yotoktt,"['pakai', 'preseden', 'prabowo', 'tolong', 'jabat', 'negara', 'korupsi', 'uang', 'negara', 'negara', 'cepat', 'maju', 'amerika', 'serikat']",pakai preseden prabowo tolong jabat negara korupsi uang negara negara cepat maju amerika serikat
@IcasFishing,"['sadis', 'rencana', 'harap', 'hukum', 'mati']",sadis rencana harap hukum mati
@gigihindarto5223,"['kecil', 'hati', 'indonesia', 'mik', 'slogan', 'tangkap', 'tumbuh', 'ribu', 'korupsi']",kecil hati indonesia mik slogan tangkap tumbuh ribu korupsi
@SangKomaru,"['penjara', 'maximal', 'asn', 'enggak', 't', 'jabat', 'mending', 'korupsi', 'banding', 'abdi', 'negara']",penjara maximal asn enggak t jabat mending korupsi banding abdi negara
@kudalumping5747,"['benci', 'jabat']",benci jabat
@RizsQ09,[],
@novalpandolo,"['enggak', 'diberitain', 'enggak', 'manfaat', 'rakyat', 'entar', 'penjara', 'tri']",enggak diberitain enggak manfaat rakyat entar penjara tri
@AdiSofan123,"['enggak', 'negara', 'hukum', 'mati', 'koruptor', 'kasihan', 'rakyat', 'derita', 'ulah']",enggak negara hukum mati koruptor kasihan rakyat derita ulah
@pakgurungaji7592,"['kayak', 'jual', 'bensin', 'ecer', 'pinggir', 'jalan', 'direktur', 'pertamina']",kayak jual bensin ecer pinggir jalan direktur pertamina
@sopani8591,"['enggak', 'tembak', 'mati', 'pejabaat', 'korupsi']",enggak tembak mati pejabaat korupsi
@nilapky1810,"['negara', 'maju', 'korupsi', 'harusnyaa', 'hukum', 'mati']",negara maju korupsi harusnyaa hukum mati
@kuzantaisho4050,"['kompensasi', 'masyarakat', 'gratis', 'bensin', 'bulan']",kompensasi masyarakat gratis bensin bulan
@pudyastuti5362,"['hukum', 'berat', 'laku', 'aplgi', 'jabat', 'pertamina', 'salahkn', 'bawah', 'ngoplos', 'gas', 'mncurangi', 'angka', 'meter', 'pom', 'bensin', 'moga', 'anak', 'cucu', 'muntah', 'kebnyakan', 'minum', 'pertalite']",hukum berat laku aplgi jabat pertamina salahkn bawah ngoplos gas mncurangi angka meter pom bensin moga anak cucu muntah kebnyakan minum pertalite
@djchannel564,"['enak', 'curi', 'uang', 'muka', 'kagak', 'bonyok', 'baju', 'pakai', 'penjara', 'enggak']",enak curi uang muka kagak bonyok baju pakai penjara enggak
@frekuensiofficial3644,"['lini', 'kecuali', 'periksa', 'rusak', 'negara']",lini kecuali periksa rusak negara
@eyibudi9238,"['konoha', 'surga', 'koruptor']",konoha surga koruptor
@OgieSugiarto,"['enggak', 'maju', 'negeri', 'hukum', 'lemah', 'koruptor']",enggak maju negeri hukum lemah koruptor
@rizalmaulana4207,"['indonesia', 'gelap']",indonesia gelap
@aden2293,"['t', 'beres', 'hukum']",t beres hukum
@OgieSugiarto,"['enggak', 'maju', 'negeri', 'hukum', 'lemah', 'koruptor']",enggak maju negeri hukum lemah koruptor
@Bakrun-AK47,"['indonesia', 'saing', 'negara', 'korupsi', 'indonesia', 'juara']",indonesia saing negara korupsi indonesia juara
@ardiwijaya820,"['enggak', 'tangkap', 'pakai', 'tutup', 'muka', 'masker', 'biar', 'rakyat', 'tau', 'tampang', 'khianat', 'rakyat']",enggak tangkap pakai tutup muka masker biar rakyat tau tampang khianat rakyat
@yotoktt,"['korupsi', 'jabat', 'negara', 'titip', 'setempel', 'palsu', 'beli', 'nota', 'kosong', 'dllnya', 'licik', 'uang', 'samping']",korupsi jabat negara titip setempel palsu beli nota kosong dllnya licik uang samping
@IamNoOne321,"['rahasia', 'wkwk', 'bumn', 'korupsi', 'triliun', 'itu', 'sektor', 'real', 'money', 'kayak', 't', 'akibat', 'rusak', 'lingkung']",rahasia wkwk bumn korupsi triliun itu sektor real money kayak t akibat rusak lingkung
@zakimzakim1107,"['gaji', 'gede', 'teh', 'pantesan', 'mesin', 'kndaraan', 'macet']",gaji gede teh pantesan mesin kndaraan macet
@dzywrygh189,"['ngeri', 'kalo', 'kayak', 'entar', 'revolusi', 'rakyat', 'perintah', 'kayak', 'revolusi', 'perancis', 'rakyat', 'perancis', 'miskin', 'raja', 'keluarga', 'hidup', 'mewah', 'presiden', 'tindak', 'benah', 'hukum', 'indonesia', 'terap', 'hukum', 'mati', 'tembak', 'gantung', 'koruptur']",ngeri kalo kayak entar revolusi rakyat perintah kayak revolusi perancis rakyat perancis miskin raja keluarga hidup mewah presiden tindak benah hukum indonesia terap hukum mati tembak gantung koruptur
@RisbayaEep,"['hukum', 'mati', 'antri', 'beli', 'bensin', 'jam', 'jam', 'atur', 'enak', 'makan', 'uang', 'korupsi', 'hukum', 'mati']",hukum mati antri beli bensin jam jam atur enak makan uang korupsi hukum mati
@JunitaPManurung,"['miskin', 'hukum', 'umur', 'hidup', 'lobang', 'buaya']",miskin hukum umur hidup lobang buaya
@rockjawchannel9585,"['hukum', 'mati', 'biar', 'efek', 'jera', 'takut', 'buat', 'korupsi', 'oplos', 'elpiji', 'singgung', 'menteri', 'esdm', 'ulah', 'orang', 'pertamina', 'tuh']",hukum mati biar efek jera takut buat korupsi oplos elpiji singgung menteri esdm ulah orang pertamina tuh
@Justice.999,"['tangkap', 'koruptor', 'akar', 'cepat', 'tangkap', 'otak', 'dalang', 'koruptor', 'akar', 'orang']",tangkap koruptor akar cepat tangkap otak dalang koruptor akar orang
@agniaazzahra7347,['bakarr'],bakarr
@sukrisukri4697,"['mayoritas', 'jabat', 'hati', 'iblis', 'korupsi', 'pintar', 'kurupsi', 'enggak', 'aklak', 'aklaknya', 'jelek', 'binatang']",mayoritas jabat hati iblis korupsi pintar kurupsi enggak aklak aklaknya jelek binatang
@areksuroboyo2128,"['percaya', 'danatara', 'bumn', 'jdnya', 'kalo', 'holding', 'ckckck']",percaya danatara bumn jdnya kalo holding ckckck
@pandu03-p4l,"['rugi', 'negara', 'rakyat', 'indonesia', 'bela', 'beli', 'pertamax', 'eh', 'kasih', 'pertalite']",rugi negara rakyat indonesia bela beli pertamax eh kasih pertalite
@bismillahalhamdulillah4432,"['kesini', 'parah', 'maling', 'nominal', 'besar', 'triliun']",kesini parah maling nominal besar triliun
@sofanarosid4501,"['ah', 'malas', 'hukum', 'mati']",ah malas hukum mati
@husnifajrulalam8954,"['koruptor', 'rajalela', 'lindung', 'ham', 'hukum', 'kesan', 'duit', 'kuasa', 'kebal', 'hukum', 'bayang', 'hukum', 'ringan', 'penjara', 'fasilitas', 'mewah', 'libur', 'berangkat', 'pagi', 'pulang', 'sore', 'remisi', 'enggak', 'ngotak', 'selesai', 'penjara', 'pulang', 'harta', 'benda']",koruptor rajalela lindung ham hukum kesan duit kuasa kebal hukum bayang hukum ringan penjara fasilitas mewah libur berangkat pagi pulang sore remisi enggak ngotak selesai penjara pulang harta benda
@anburuy9672,['jahat'],jahat
@syaifulbahri4347,"['keluarga', 'turun', 'maling', 'uang', 'rakyat']",keluarga turun maling uang rakyat
@linggamulyatno,"['lembut', 'koruptor']",lembut koruptor
@yotoktt,"['hukum', 'mati', 'korupsi', 'pakai', 'presiden', 'prabowo']",hukum mati korupsi pakai presiden prabowo
@yantobreges2214,"['hukum', 'mati', 'triliun']",hukum mati triliun
@telorceploksambelkecap,"['ahklak', 'bumn', 'retorika', 'terap', 'hura', 'hore', 'buang', 'produktif']",ahklak bumn retorika terap hura hore buang produktif
@bambsvlogcoy7922,"['rakyat', 'rugi']",rakyat rugi
@alamtopaniherdiansyah7686,"['bilang', 'rugi', 'gara', 'subsidi', 'anjink', 'korupsi']",bilang rugi gara subsidi anjink korupsi
@OgieSugiarto,"['pantesan', 'rugi', 'mu', 'lu', 'hukum', 'mati']",pantesan rugi mu lu hukum mati
@dinahdennayah534,"['malinhg', 'bikin', 'susah', 'rakyat', 'miskin', 'biar', 'jual', 'minyak', 'ecer', 'aka']",malinhg bikin susah rakyat miskin biar jual minyak ecer aka
@frandmolyadi7523,"['korupsi', 'tumbuh', 'subur', 'indonesia', 'presiden', 'omon']",korupsi tumbuh subur indonesia presiden omon
@CahBagus-369,"['beli', 'pertalite', 'pakai', 'barcode', 'paksa', 'beli', 'pertamax', 'enggak', 'tau', 'oplos', 'kayak', 'buat', 'aplikasi', 'kongkalingkong', 'mafia', 'minyak', 'rugi', 'personal', 'rugi', 'rakyat', 'indonesia']",beli pertalite pakai barcode paksa beli pertamax enggak tau oplos kayak buat aplikasi kongkalingkong mafia minyak rugi personal rugi rakyat indonesia
@Bins-gs8hs,"['oo', 'bilang', 'gaji', 'naik', 'gaji']",oo bilang gaji naik gaji
@ahmadel9145,['penjara'],penjara
@AbiNisaDoel,"['sita', 'harta', 'program', 'makan', 'gizi']",sita harta program makan gizi
@sutamefendy3054,"['koruptor', 'negeri', 'hukum', 'mati', 'miskin', 'enggak', 'kapok', 'rajalela', 'enggak', 'takut', 'mati', 'siksa', 'neraka']",koruptor negeri hukum mati miskin enggak kapok rajalela enggak takut mati siksa neraka
@arifdarmawan868,"['coba', 'hukum', 'mati', 'biar', 'jera']",coba hukum mati biar jera
@irullia7672,"['kakak', 'capek', 'serah', 'deh', 'korupsi', 'indonesia', 'hancur', 'hukum', 'mati', 'mitoss']",kakak capek serah deh korupsi indonesia hancur hukum mati mitoss
@cc_caracerdas,"['bobrok', 'indonesia', 'alam', 'meresetnya']",bobrok indonesia alam meresetnya
@jarotwiratama7567,"['hukum', 'mati', 'pliss']",hukum mati pliss
@rsharissudin9084,"['hukum', 'ringan', 'pr', 'pangku', 'enggak', 'berani', 'takut', 'tahu']",hukum ringan pr pangku enggak berani takut tahu
@sonytan8130,"['jahat', 'efisiensi', 'anggar']",jahat efisiensi anggar
@peloytea1970,"['korupsi', 'penjara', 'siram', 'bensin', 'langsung', 'bakar', 'hidup']",korupsi penjara siram bensin langsung bakar hidup
@ferianiharianto1104,"['masuk', 'penjara', 'kalo', 'masuk', 'mobil', 'tangki', 'pertamina', 'biar', 'tenggelam', 'pertalite', 'oplos']",masuk penjara kalo masuk mobil tangki pertamina biar tenggelam pertalite oplos
@back975,"['rompi', 'bantu', 'maka']",rompi bantu maka
@KikiKiki-j4u,"['aduh', 'capek', 'dengar', 'berita', 'indonesia']",aduh capek dengar berita indonesia
@sandidesty3669,['bakar'],bakar
@golddragons6034,"['penjara', 'langsung', 'masuk', 'partai', 'politik', 'duit', 'hasil', 'korupsi', 'mahar', 'calon', 'gubernur', 'anggota', 'dpr', 'ri', 'eunak', 'tenan', 'hidup', 'wkwkwkwk', 'hancur', 'deh']",penjara langsung masuk partai politik duit hasil korupsi mahar calon gubernur anggota dpr ri eunak tenan hidup wkwkwkwk hancur deh
@Kusuma_wijaya,"['uang', 'plus', 'hukumanya', 'ringan', 'negeri', 'samxx']",uang plus hukumanya ringan negeri samxx
@aniaja70,"['salah', 'sebab', 'kendara', 'cepat', 'r', 'a', 'kak', 'jari', 'tangan', 'oknum', 'pertamina', 'potong']",salah sebab kendara cepat r a kak jari tangan oknum pertamina potong
@andysusanto5990,"['hukum', 'mati']",hukum mati
@situmbu8154,"['hukumanya', 'potong', 'laku']",hukumanya potong laku
@hermansudarsono297,"['gateli', 'tiwas', 'tuku', 'pertamax', 'gawe', 'nmaxku']",gateli tiwas tuku pertamax gawe nmaxku
@davidsh4177,"['hitung', 'rugi', 'negara', 'dana', 'masuk', 'kas', 'negara', 'tidai', 'masuk', 'kas', 'negara', 'kerkuak', 'rugi', 'masyarakat', 'beli', 'minyak', 'sesuai']",hitung rugi negara dana masuk kas negara tidai masuk kas negara kerkuak rugi masyarakat beli minyak sesuai
@raishafaiq8873,"['pertaminna', 'rugi', 'minum', 'orang', 'rakyat', 'beli', 'uang', 'tunai', 'aneeh', 'hukum', 'berat', 'bangzat']",pertaminna rugi minum orang rakyat beli uang tunai aneeh hukum berat bangzat
@ahmadbudiyanyo8594,"['hukum', 'mati', 'koruptor']",hukum mati koruptor
@andiputrapurwandi9688,"['mahasewa', 'indonesia', 'bacot', 'efisiensi', 'demo', 'eh', 'gilir', 'sita', 'aset', 'koruptor', 'diam', 'ayo', 'kalao', 'demo', 'mahasewa', 'usir', 'ganggu', 'tertib']",mahasewa indonesia bacot efisiensi demo eh gilir sita aset koruptor diam ayo kalao demo mahasewa usir ganggu tertib
@johnkelana6015,"['mental', 'maling', 'otak', 'bisnis', 'taruh', 'maling']",mental maling otak bisnis taruh maling
@nurmansantosa8549,"['hukum', 'buang', 'hutan']",hukum buang hutan
@onlyyou5039,"['pakar', 'hukum', 'pidana', 'duduk', 'pakar', 'hukum', 'pidana', 'islam', 'kaji', 'hukum', 'potong', 'tangan', 'curi', 'koruptor', 'efek', 'jerah']",pakar hukum pidana duduk pakar hukum pidana islam kaji hukum potong tangan curi koruptor efek jerah
@Next_ART2,"['sita', 'langsung', 'hasil', 'korupsi', 'enggak', 'tunggu', 'uu', 'rampas', 'aset', 'enggak', 'sahkan', 'uu']",sita langsung hasil korupsi enggak tunggu uu rampas aset enggak sahkan uu
@Nasrawati07,"['balik', 'lampu', 'lalulintas', 'nama', 'korutor', 'pertamina', 'besar', 'terima', 'teriliun', 'telur', 'ayam', 'makan', 'hitung', 'beda', 'masarakat', 'mahasiswa', 'masaena', 'oyek', 'pertamina', 'perjajian', 'mautau', 'koruu', 'mandi', 'pau', 'pauta', 'pue', 'maumenang', 'dunia', 'mintaa', 'maaf', 'uang', 'barselona', 'barat', 'erti', 'berperasaan', 'komputer', 'kurupsi', 'haji', 'jalaluddin', 'rekam', 'keluarga', 'saman', 'bbm', 'barselona', 'awo']",balik lampu lalulintas nama korutor pertamina besar terima teriliun telur ayam makan hitung beda masarakat mahasiswa masaena oyek pertamina perjajian mautau koruu mandi pau pauta pue maumenang dunia mintaa maaf uang barselona barat erti rasa komputer kurupsi haji jalaluddin rekam keluarga saman bbm barselona awo
@yogiaja-k7m,"['hukumm', 'berat', 'berat']",hukumm berat berat
@SAVIRASEFTIANI,"['korupsi', 'amansaja', 'bagi', 'teriak', 'bongkar']",korupsi amansaja bagi teriak bongkar
@toarfandy1524,"['gila', 'periode', 'ketangkep', 'kelas', 'kakap', 'xd']",gila periode ketangkep kelas kakap xd
@heruprast.501,"['perintah', 'seleweng', 'salah', 'tanggung', 'akibat', 'atas', 'libat', 'bongkar', 'adil', 'biar', 'rame', 'masuk', 'penjara', 'lagu', 'koruptor', 'cari', 'benar']",perintah seleweng salah tanggung akibat atas libat bongkar adil biar rame masuk penjara lagu koruptor cari benar
@PERMENIJO-qf8qs,"['dahlan', 'iskan', 'tolong', 'muncul', 'biar', 'terang', 'barang']",dahlan iskan tolong muncul biar terang barang
@almannovari1643,"['rezim', 'surabaya', 'korban', 'dirut', 'pertamina']",rezim surabaya korban dirut pertamina
@amrizenamrizen9377,"['tau', 'kpk', 'gegabah', 'biang', 'proses', 'tingkat', 'dirut', 'sangka', 'otak', 'utama', 'tebak', 'perintah', 'ngambang', 'dikpk', 'centiry', 'hanbalang', 'proyek', 'mangkrak', 'candi', 'ambalang', 'ntt', 'ntb', 'proyek', 'mangkrak', 'pln', 'mana', 'kpk']",tau kpk gegabah biang proses tingkat dirut sangka otak utama tebak perintah ngambang dikpk centiry hanbalang proyek mangkrak candi ambalang ntt ntb proyek mangkrak pln mana kpk
@arrifai1350,"['gaet', 'yusril']",gaet yusril
@YanMar-q5q,"['maaf', 'level', 'korup']",maaf level korup
@ernawatiaziz-ih5tg,"['pertamina', 'rugi', 'korupsi', 'direktur', 'utama', 'salah', 'ahok', 'ngeri', 'warga', 'jakarta']",pertamina rugi korupsi direktur utama salah ahok ngeri warga jakarta
@yohakimfunny9727,"['karen', 'lu', 'kena', 'kpk', 'lu', 'dikorbanin', 'lu', 'korup', 'harta', 'benda', 'jabat', 'lu']",karen lu kena kpk lu dikorbanin lu korup harta benda jabat lu
@badakhitam5118,"['korupsi', 'jaman', 'surabaya']",korupsi jaman surabaya
@karsokarso9651,[],
@sahmadi8394,"['buka', 'lebar', 'dpr', 'berani', 'sah', 'uu', 'rampas', 'aset', 'koruptor']",buka lebar dpr berani sah uu rampas aset koruptor
@darmadenidarma4351,"['orang', 'libat', 'enggak', 'kaetel', 'libat', 'orang', 'alir', 'dana', 'mana', 'buka', 'kalo', 'jabat', 'biar', 'sikat']",orang libat enggak kaetel libat orang alir dana mana buka kalo jabat biar sikat
@laodesardimin160,"['hukum', 'mati']",hukum mati
@-farid-7371,"['koruptor', 'enggak', 'dpr', 'atur', 'ukumannya', 'mati', 'kayak', 'enggak', 'dpr', 'korupsi', 'tuju', 'hukum', 'mati']",koruptor enggak dpr atur ukumannya mati kayak enggak dpr korupsi tuju hukum mati
@haykalrayhanfamily7953,"['pertamina', 'sarang', 'koruptor', 'bravo', 'prabowo', 'sikat', 'habis', 'koruptor']",pertamina sarang koruptor bravo prabowo sikat habis koruptor
@asmar8626,"['presiden', 'berani', 'terap', 'hukum', 'mati', 'koruptor', 'sampah', 'negeri']",presiden berani terap hukum mati koruptor sampah negeri
@Mbelgedes_,"['gasskeun', 'korupsi', 'indonesia', 'bangkrut', 'jatuh', 'miskin', 'tegak', 'hukum', 'enggak', 'jatuh', 'i', 'hukum', 'berat', 'trik']",gasskeun korupsi indonesia bangkrut jatuh miskin tegak hukum enggak jatuh i hukum berat trik
@dikaahmad5198,"['hukum', 'mati', 'desak', 'hakim', 'hukum', 'mati']",hukum mati desak hakim hukum mati
@herryharyadi6650,"['hal', 'langsung', 'singgung', 'rakyat', 'laku', 'layak', 'hukum', 'mati']",hal langsung singgung rakyat laku layak hukum mati
@emicos2557,"['hasil', 'korupsi', 'sita', 'negara', 'masyarakat', 'butuh', 'sandang', 'pangan']",hasil korupsi sita negara masyarakat butuh sandang pangan
@ardyantorades1837,"['pertamina', 'minyak', 'sasar', 'mafia', 'pangan', 'berass']",pertamina minyak sasar mafia pangan berass
@garsumtea7884,"['pertamina', 'rugi', 'tau', 'garong', 'perintah', 'dikibulin', 'kalah', 'pertamini', 'angkat', 'pegawai', 'pertamina', 'jual', 'pertamininya']",pertamina rugi tau garong perintah dikibulin kalah pertamini angkat pegawai pertamina jual pertamininya
@chadziqabdullah1295,"['rakyat', 'enggak', 'kaget']",rakyat enggak kaget
@user-yv5iw9hs3l,"['hukum', 'seimur', 'hidupp', 'mislinksn', 'keluarga']",hukum seimur hidupp mislinksn keluarga
@pkcdttegal7448,"['duit', 'trilyun', 'kayak']",duit trilyun kayak
@pangerankucing8827,"['egk', 'hati', 'jagung', 'libat', 'pecat', 'mutasi']",egk hati jagung libat pecat mutasi
@Vespakemplinx1965,"['koruptor', 'bunuh', 'mati']",koruptor bunuh mati
@bejondeso8974,"['duh', 'nkri', 'ubah', 'negara', 'koruptor', 'republik', 'indonesia', 'rugi', 'masyarakat', 'indonesia', 'negara']",duh nkri ubah negara koruptor republik indonesia rugi masyarakat indonesia negara
@bio_explore_gunadi1360,"['rakus', 'minum', 'air', 'laut', 'minum', 'haus']",rakus minum air laut minum haus
@seifeermax,"['hukum', 'mati', 'ngerugiin', 'orang', 'rusak', 'mobil', 'isi', 'bbm', 'kayak']",hukum mati ngerugiin orang rusak mobil isi bbm kayak
@noermjrock7351,"['rakyat', 'ngoplos', 'miras', 'orang', 'kayak', 'ngoplosnya', 'pertamek']",rakyat ngoplos miras orang kayak ngoplosnya pertamek
@gunawansetiawan9318,"['kocak', 'negara', 'kalo', 'hukum', 'berat']",kocak negara kalo hukum berat
@doedroen,"['ahirnya', 'rakus', 'duduk']",ahirnya rakus duduk
@aseplukman2,"['enggak', 'lindung', 'institusi', 'polisi', 'enggak']",enggak lindung institusi polisi enggak
@budaksaha2746,"['enggak', 'kurang', 'rampok', 'koruptor', 'mental', 'sakit', 'harap', 'sejahtera', 'harap', 'indonesia', 'emas', 'angan', 'jalan', 'baik', 'undang', 'negara', 'hukum', 'mati', 'koruptor', 'minimal', 'umur', 'hidup', 'wajib', 'miskin', 'aset', 'harta', 'negara']",enggak kurang rampok koruptor mental sakit harap sejahtera harap indonesia emas angan jalan baik undang negara hukum mati koruptor minimal umur hidup wajib miskin aset harta negara
@tagormartua-xk5ie,"['negara', 'enggak bakal', 'berani', 'hukum', 'berat', 'koruptor']",negara enggak bakal berani hukum berat koruptor
@victorian9626,"['kiamat', 'negeri', 'enggak', 'makmur', 'manusia', 'bebas', 'korupsi', 'hingga', 'ratus', 'trilyun', 'hukum']",kiamat negeri enggak makmur manusia bebas korupsi hingga ratus trilyun hukum
@Irwnbcl,"['untung', 'enggak pernah', 'isi', 'pertamina']",untung enggak pernah isi pertamina
@IwanSuwandi-r7j,"['sangka', 'judatnya', 'tanda', 'titik', 'hitam', 'tanda', 'rajin', 'sholat', 'munafik', 'sholat', 'kedok', 'kamupkase', 'maling']",sangka judatnya tanda titik hitam tanda rajin sholat munafik sholat kedok kamupkase maling
@arbialbar7440,"['rampas', 'aset', 'harta', 'hukum']",rampas aset harta hukum
@gunadisyarifuddin573,"['hukum', 'mati', 'korupsi', 'gede', 'gede', 'capai', 'triliun', 'negara', 'bangkrut', 'sejahtera', 'rakyat', 'puruk', 'miskin', 'asean', 'enggak', 'malu']",hukum mati korupsi gede gede capai triliun negara bangkrut sejahtera rakyat puruk miskin asean enggak malu
@WadjaManurung,"['dewan', 'komisaris', 'tau', 'enggak']",dewan komisaris tau enggak
@doniaprizon7,"['wajib', 'penggal']",wajib penggal
@vanbalak8628,"['petronas', 'ajar', 'pertamina', 'pertamina', 'ajar', 'petronas', 'basmi', 'tikus', 'got', 'indonesia', 'ajar', 'china', 'hukum', 'koruptor', 'investasi', 'china', 'genjot']",petronas ajar pertamina pertamina ajar petronas basmi tikus got indonesia ajar china hukum koruptor investasi china genjot
@4yearsago,"['pertamina', 'rugi', 'enggak', 'sdm', 'kerja', 'pakai', 'kontraktor', 'orang', 'pertamina', 'tinggal', 'cari', 'vendor', 'mainin', 'anggar']",pertamina rugi enggak sdm kerja pakai kontraktor orang pertamina tinggal cari vendor mainin anggar
@damisriani448,"['hukum', 'mati', 'wae']",hukum mati wae
@DewoAja-b7m,"['jidat', 'gosong', 'korupsi']",jidat gosong korupsi
@adirafa4711,"['besar', 'nilai', 'rugi', 'negara', 'hukum', 'penjara']",besar nilai rugi negara hukum penjara
@ichicie5639,"['ayo', 'lihat', 'koruptor', 'hukum', 'banding', 'hukum', 'maling', 'nyabu', 'kecil', 'adil', 'enggak', 'hakim']",ayo lihat koruptor hukum banding hukum maling nyabu kecil adil enggak hakim
@hambaalloh9329,"['lnjtkan', 'wowo']",lnjtkan wowo
