text,label
monyet biasa kalo ujan langsung lot,2
asu,2
error twt error,2
twitter eror,2
anjing,2
mengapa sih caper,2
jelek cuih,2
download cepat maksimal coba barlangganan rasa sensasi,2
sintingg,2
lot,2
deh,2
jelek,2
sial tbtb ngelag,2
wifi lag anjir,2
enggak direstuin diving jelek dahk lu,2
ngelag,2
horor,2
adaapa ku tolong cek,2
allah ajak ribut pls,2
bayar internet kabel kak pilih,2
jleg,2
kayak pln pulsa pdam cmiiw brader,2
internetan jam non stop,2
tolong lelet yy,2
anak,2
henti langgan min,2
selamat siang henti langgan bantu online terima kasih,2
bayar min,2
lot e dungaren,2
anjing,2
kalo lambat bayar kena denda enggak kalo denda,2
mati,2
jaring enggak bagus kah,2
drama,2
lu ngethrottle steam anjing,2
goblok,2
enggak minta tambah cepat mbps tagih gede piyee,2
tolong wifi ngelag anjir pakai ngegame,2
indigo cari ribut mulu deh,2
kesal,2
selamat siang warna merah los,2
halo wifi rumah bar full no connection tolong ditindaklanjuti min thankyou,2
sumpah ganggu wasalam,2
coba sesuai intruksi mohon bantu min,2
goblok apa,2
pls lot kayak,2
nomor ganggungan jaring makassar cari nomor google enggak angkat,2
pls capek,2
internet mati min,2
lag,2
hii coba sesuai intruksi bawah enggak tolong bantu terimakasih,2
pakai celana anak lihat,2
gajelass,2
wtf happend enggak bisa main dota,2
ulah guys nama yayan suryana indak internet indak voice henti langgan ruter ambil teknisi tagih muncul ras woy buka story,2
why whyy,2
napose lot kon,2
,2
kayak tahi,2
kabel,2
lampu modem merah match ingame disconnect,2
doyan main ml kayak tahi,2
gajelaass,2
ku los,2
lot parah,2
tahi,2
deh,2
internetnya hilang,2
lot,2
duh kecewa,2
layan kecewa,2
atv enggak niat berhentiin netron minimal wanda ralf,2
anjir,2
tolong kerjasamanya,2
anjir,2
bagus aing ge pindah megapision,2
gilee jaring lalot parah ih,2
jelekk,2
ccd,2
kumat ngentot,2
asu pintar asu,2
kabel jaring telkom kayak coba infoin telkom,2
bpjs sehat error suruh restart router bpjs error suruh clear cachetemplate bun,2
nih enggak sahabat buffering guys,2
ako lot,2
capek user,2
ldr an full jam enggak pakai internet ngelag tuh,2
leweih kak kabel,2
mu lot enggak pren,2
tobat anjir,2
rumah beli kuota lot pakai wifi kalo,2
ulah pwis,2
omg pls deh,2
awakening my violent impulses,2
anjing lot,2
maaf bau,2
middle finger,2
aneh najis,2
cek dm min urgent,2
capek jujur,2
tolong urgent wifi mati pagi pakai lampu kedip restart tolong sekolah meeting,2
kemarin enggak ada,2
enggak pakai kak,2
mahal lelet licik,2
bgstt buffering otak kayak pakai internetan pakai,2
nyangkut kabel wifi,2
sport today channel sea today bahas mandalika seru enggak pasti,2
min copot layan enggak pakai mekanisme tq,2
kemarin ngelag enggak,2
wifi enggak stabil pakai putus mulu,2
knpasi,2
allah,2
hahaa plis moga enggak main kayak kemarin,2
tolong kelass,2
tolong bantu down lokasi bandung,2
halo selamat pagi min wifi eror router nyala kedip merah bayar tagih,2
kak ngeleg kak,2
paaggii yuk hobi tiktokan hihihii lancar nih tiktokan internetnya pakai,2
internet malam mati min tolong solusi butuh nih id,2
min cek dm mati salem costumer care web offline,2
min internet,2
min mohon bantu kalo pakai connect cctv sdgkan kalo pakai jaring,2
tolong nih pakai speed mbps mulu kemarin orang tawar rumah kalo langgan tolong kerjasamanya pindah nih,2
min help me internet jam internet ping speed bagus cuman jam internet,2
mati nih min,2
dimatiin,2
kemarin antri min enggak gerak samaskali,2
min krumahnya,2
please cek dm min kait kendala jaring,2
tolong cek jaring daerah sarua ciputat tangerang selatan connect,2
halo mohon info internet mati jam,2
jaring bikin los tolong kerjasama bayar kalo lu layan konsumen kecewa pindah nih tolong respon urgent,2
ayodong laku baik kemarin loh lapor baik ganggu aktivitas kerjaa,2
responnya adu kemarin baik kzll ganggu enggak ngerjain ayo cptan baik,2
internet mati tolong cek dm,2
kalo ping reply min situs enggak id langgan deh dm,2
tiga wifinya mati,2
bikin dota abaddon hahaha,2
dota update recon valorant packet loss salah server salah,2
wkwk alih langgan internet csnya bot susah template,2
halo kak daerah pondok tjandra sidoarjo error pingnya mulu,2
mjb pakai kosan pakai indihomo asuu kesaall,2
halo min nyala sore kasih tau call center ganggu t,2
halo min nyala sore kasih tau call center ganggu nyala,2
ganggu,2
internet deh dimatiin wifi,2
ah pls lot jam gin deh daring sebal,2
komtol,2
gembel,2
ill sayang sucks fase marah enggak ngerjain kerja anjing lot,2
yaampun babik,2
mentok kayak jaman cakup area enggak kembang,2
cihanjuang cuman deadline loss please cbnmyrep kesini,2
sadar kontolodon,2
ganggu mulu deh,2
kalo lebih deh bang,2
fyp provider internet rumah ganti,2
kasi kabar home buka promoan tarik kabel paling koneksi stabil kontribusi stabil emosi sok far home terbaiq down time gara kabel pedot resolve less tahan h,2
sumpaah down mya beres benar besok ngungsi nih kayak,2
parah cs onlinenya enggak kooperatif enggak tau disalahin tetangga belah,2
pelosok daya cuman nasib kalo ganggu hari,2
buset pagi malam no internet enggak bisa akses internet samsek nih,2
gilir sepi baee,2
hmm enggak rame teman ngeluh nih,2
provider sampah,2
sulit percaya selamat outage hari,2
baca komennya ngeri rugi gara,2
ayodong ngalamin keluhann speak up biar seru,2
tuman lek mari udan sinyal e ampas,2
jelek enggak kuat,2
kaco daritadi ngelag mulu,2
lot,2
tunggu masuk langsung putusin deh wkwk,2
guna kayak sial bikin susah mulu,2
sering ganggu enggak,2
min lot ciracas jakarta timur dm asap,2
down,2
wifi kantor indiehome lot puol kos pakai lelet,2
anjmau compe tgg payan siang enggak payah,2
down gilir tagih full payment nih,2
musim uji uhb jatim ganggu mulu kena rudal rasya,2
asww deh,2
bagus instlasi juta,2
anjing lot,2
rekomen lot masaa,2
allah perang yuk,2
yaelah sakit susah orang enggak sembuh anjir,2
aneh main genshin impact enggak gaya ekspansi,2
enggak dm coba biar arahin teman,2
sebab utama layan internetnya down,2
fetish rujak netizen deh,2
tinggal tunggu lebar sayap pelosok gulung tikar deh,2
down aamaatt,2
bagus jelek mati total,2
kayak kontol,2
pilih pindah,2
third party services diblock isp untung pindah,2
monmaap nih aco ngelag,2
langgan lot hujan lebat sebentar lebih never complained asli bagus but today beuuh indak percaya down but manusia,2
nih rusuh,2
lu ajak antem kah,2
layan internet lapor down guna pagi wib tanggap ganggu,2
layan keluh down sebab,2
layan internet lapor down pagi guna keluh susah akses google streaming,2
pagi ngelag anjir,2
kontol kagak nyalanyala memek,2
wth lot parah drtd siang,2
taii lot anjing,2
down lihat tweet orang kayak ganggu anjir,2
min lag parah id,2
ngapa lemod,2
doownn yaampun ku laptop ku kentang tau wifiku hadeh,2
tumben ganggu,2
bikin emosi min,2
koneksi jelek parah,2
capek hati pakai langgan ganggu trouble lancar kangen gig langgan trouble,2
pertanggungjawaban provider langgan internet ganggu berjamjam ganggu,2
benernya enggak kerjaremote pc client pagi,2
seninsenin ngeluh garagara ngeluh twitter deh,2
trnyt ganggu link internasional,2
informasi sesuai notifikasi maret alam kendala perangkat jaring internasional akibat turun performansi layan internet server internasional dampak akses server,2
pasang kemarin down resek bett,2
error,2
nape lot tumben,2
mabukk email numpuk lot tumben,2
deh bayar mahal niehh down anjj,2
oalahh down anjengg,2
halo jam jaring rto,2
lu lola tuhan,2
internet mati solusi teknisi ganti router set password info resah,2
anjing,2
koneksi internet loyo deh kecewa,2
karyawan monyet,2
internet dunia deh cuman tiktok wasap anjing apenih tugas kumpul trouble kah gen manggis,2
down closing oii,2
internet lambat,2
oh ampas pastes,2
kalo pakai terus daily bizpak neng,2
aduh lot pagi hambat kerja,2
ampas enggak gawee,2
ok downn,2
lot,2
jam download enggak bisa huu,2
omg stres kerja woy,2
seriously internet problem,2
lu ngada kelasszz,2
plis deh lot xl enggak usah ikut deh lu,2
anjeengg,2
ganggu yaelahh,2
lot parah,2
layan mu puarah enggak sesuai janji putus sambung tonton filem buffering teknisi enggak atas,2
bangkrut cacad enggak niat,2
rumah mati enggak baik,2
mon maaf tolong lot prak itmkg telat masuk zoom zz,2
hari downnya,2
ngentod lelet,2
halo internet connectionnya slow kalo buka google gmail,2
kno nih lot kerja bengkalai buka google vs gofood cepat gofood datengnya,2
tolong ngelag,2
tumben jelek,2
gentian angel connect google,2
koncol,2
woi mahal layan sampah maksimal enggak sosmed enggak chat live enggak balas tahi,2
ganggu kendala,2
kaliini lemoot yaallah,2
wtf,2
enggak buka spreadsheet anjing,2
ganggu internet gabsa connect,2
anjritlah tb ngedrop,2
enggak peduli keluh bangsat,2
cek speed buka google enggak down,2
ngentot,2
sumpaah uprak taii rumah sial,2
googling enggak bisa anjriitt kenapadaahh,2
huft enggak lot lho buka apps,2
apa o mulu pagi kerja ganggu,2
error buka google lot,2
kontol,2
sucks ass now,2
bentar uprak sumpah,2
wkwkwkw nelpon cs jaring sibuk orang telp csnya complain,2
mati nyala mati nyala ros mantap bor,2
niat revisi cari sumber idiot,2
lot deh orang kerja kuliah ganggu,2
jelek anjwing,2
hah ku kayak asu,2
bobrok,2
tolong enggak seru enggak bisa buka photo anjir,2
yaallah aco daritadi,2
dafuq tahi,2
loh napas ganggu,2
ganggu pakai sosmed fb twitter ig,2
down kontol,2
ganggu kerja,2
tolol,2
kenap lot mulu heran,2
njg,2
anjing absen susahh,2
kuliah online ganggu deh,2
lot,2
kintil uji error,2
anjing ulah,2
lot disconnect lapor suruh restart aduh,2
sumpah deh tahi kayak bzz no hope isp indonesia,2
allah ampas,2
jancok meh garap ulang cokk,2
halo kerja ku hambat hiks,2
kntol,2
kntl,2
pls anjc lot pls habis praktikumm,2
sama jelek,2
bangsat tau hidden feenya kesal,2
sumpah enggak jelas,2
indihom lot nih upgrade,2
hdeh slowrespon tugas cecer,2
please deh ampun suka disconnected,2
anjiinngg,2
setann,2
caper kayak indihm anjing lot parah,2
jelek,2
anjgg wifi jelek tahi,2
mati sialaann,2
enya euy merah ngedip kitu alus kang,2
apaansi ngelag anjeng main valo,2
lelet kerja registrasi jam enggak follow up telkom daerah enggak sentuh,2
fakk hilang kuliah,2
bilang bapuk bentar no internet connection mulu alah,2
minggu jaring eror,2
koneksi game enggak stabil min lag download google drive lamban normal,2
drama astagfirullah,2
gila hari down kompensasi enggak,2
hahaha bro dm telp enggak direspon teknisi janji enggak,2
ajsjsksksush tolong lot,2
halo internet mati nih kerja,2
up kayak enggak ngaruh dm keluhin ganggu enggak dinotice,2
enggak sadar lot parah ekspansi,2
wkwkwk kasihan pagi,2
jaring jelek,2
internet lot hey cek dm,2
tolong mulu siang tonton youtube buffering,2
internet ganggu,2
kak lemott,2
tolong interview magang skype mati internetnya,2
info internet down kah,2
sedih,2
enggak beri nih selow pagi kayak,2
maty enggak bisa keja loh,2
ganggu daerah pontianak,2
jujur pagi kelas ngelag,2
lot min,2
min ganggu area cawang kah,2
server eror,2
jam an inet deh zoom lempar lot buka email lamanyaada min,2
cek dm tiga error,2
halo min internet salem enggak ada jaring,2
id pel koneksi internet mati jam malam tolong bantu terima kasih,2
internet mati wilayah mampangpondok jaya restored kompensasi,2
selamat pagi nomor langgan alam ganggu layan internet tv bantu,2
maintenancenya jam min,2
pagi tolong jadwal jam,2
halo internet mati nih mohon bantu,2
down internetnya kemarin lot id pel,2
langgan tunggu estimasi jam,2
daerah jaka setia bekas mati internet terima kasih,2
kalo enggak punya laptop kasih solusi benerlah,2
min jam enggak hari,2
min internet lokasi jakarta timur ganggu mohon baik terima kasih,2
min error dah streaming bolaa jam errornya id,2
min wifinya ganggu,2
min id tolong dicheck error muluu nih gmnsii,2
error,2
min internet enggak bisa nomer langgan,2
masaalahnya mohon info besok meeting,2
min nopel tv internet mati nih online,2
malam wifi mati kerja diselesain besok tolong ganggu parah tolong besok ganggu mohon yaallahh tangis,2
enggak mabar,2
weekend loh tunggu ketemu pelihara jaring lelucon,2
mulu magabut lu min makan gaji buta basi ah bangkai laah emosi malam gara kerja,2
wifi error tolong cek no cust,2
up mbps,2
enggak sesuai tagih terima email,2
parah billing tagih kirim email layan tv diputusternyata baya enggak sesuai email terima,2
selamat pagi nomor langgan alam ganggu layan internet tv bantu,2
halo internet mati nih mohon bantu,2
februari ganggu koreksi billing tuh min pakai layan palak,2
akses internal server error situs enggak maintenance jaring,2
rasa pelihara jaring masalah standart fm hari,2
hai tanggal februari wib koneksi internet ganggu lho alias fungsi,2
malam push rank wifi error tolong,2
min jam enggak hari,2
min internet lokasi jakarta timur ganggu mohon baik terima kasih,2
tanggal dibenerin ganti colok maintanance pakai fullnya,2
min error dah streaming bolaa jam errornya id,2
min wifinya ganggu,2
min id tolong dicheck error muluu nih gmnsii,2
error,2
min internet enggak bisa nomer langgan,2
min nopel tv internet mati nih online,2
enggak mabar,2
min invasi putin barusan nih maki atas connections mati kalo jawabanya maaf ketidaknyamanannya cari alamat deh ayo antem nonjok nih,2
lan min updownstreamnya enggak colok kagak pakai wifi,2
weekend loh tunggu ketemu pelihara jaring lelucon,2
mulu magabut lu min makan gaji buta basi ah bangkai laah emosi malam gara kerja,2
hello bilang ganggu jaring cek tulis maintenance alas pelihara jaring weekend kompensasi ganti,2
enggak sesuai tagih terima email,2
min besok dateline jam puluh pagi pagi beres beli kuota teriak enggak bayar kompensasi kasih enggak rugi nunggak ogah bayar,2
tulis aplikasi jaring maintenance,2
maintenance jam gin biar setan,2
bikin emosi weekend inet mati,2
min nopel problem jaring tv internet offline nih,2
kerja enggak tunggu malam lembur digangguin jaring bolak beli kuota ribu woy untung buntung,2
listrik nyala loh eh loh eh internetnya mati wakakka ampun deh,2
dinaikin speednya juta mbps mikir deh langgan bantu ringan pikir jaring bikin stres mulu bhay enough is enough,2
nih fm mati no signal internet mati kerja nih bos mohon resin payah lo,2
id langgan an singal pasaribu bermasalahhadeuhtolong buruk layan,2
halo min no langgan offline min,2
id cust no internet connection direfresh cabut kendala tolong tindak lanjut urgent,2
enga salah nih sakit kambuh parah parah jaring,2
hitung protes ganggu mulu ganggu kerja abang teriak nyuruh ganti adek teriak nyuruh ganti tahan rugi finansial saran,2
ganggu lu wifi tibatiba error,2
hello internet mati weekend loh,2
normal apaanya coba periksa resek,2
tib internetnya enggak bisa,2
min ganggu ganggu gilir tagih cepat enggak telat bayar internet eror rugi kalo no id,2
check signal down,2
internet kalo jam malam lemott buffering tonton sepakbola kahh,2
tolong min pagi inet mati jam telp call center bantu betul jaring enggak trouble area nyala lampu power,2
hilang sinyal ganggu kah,2
apa pasrah bayar ude besok internet mati bos,2
halo dore intenet mati ganggu id,2
pakai kabel enggak pakai wireless rto rasa,2
halo fm selesai baik kah putus id putus,2
halo jam loh internetnya enggak bisa pakai dm info,2
selamat malam aju mohon henti langgan bantu online tindak terima kasih,2
kayak ganggu lampu internet kedip,2
kalo sd boongnya lihat setan alias anak anja pura buka,2
allah kalo lu dendam bilang anjing mcl bbii,2
kemarin jaring jelek deh tangis kalo recet ajar,2
kuota tinggal dikit reg paket enggak paham suruh henti paket kuota sisa kuota twitternya ckckckck,2
halo sinyal stabil kak,2
erorr beli paket data,2
tiaptiap malam signalnya suka hilang cari signal manual kalo hari loh hilang sinyalnyaa tolong baik,2
tolong sinyal dramaga ilangilangan jelang maghrib enggak setel jaring hp reset bobrok sinyal,2
searching tugass sinyal enggak stabil lho kesal beli kuota selesai,2
halo hilang sinyal loh dibenerin,2
pliss ojok kyok tahi poo,2
buset mahal,2
hi min down siang enggak bisa connect internet,2
dear allah minggu sinyal enggak lot lot enggak akses instagram tolong baik jaring min besok aktif nge zoom kuliah hikss,2
down kah min sinyal penuh e,2
admin isi pulsa gagal nih beli paket salah teknis mulu,2
minsampai no hilang sinyalnyaini surabaya daerah rungkut nomor digit bantu,2
error kuota beli,2
pasang paket balesan salah teknis mulu,2
gagal,2
dm sumpah enggak sinyal,2
provider lu bobrok tahi keluh kesah tanggap bot isi pulsa ribu habis cuman gara layan glovinus enggak lu tuh sms sms anjir,2
hai rima henti langgan layan sms unreg spasi mars kirim,2
min tolong cek id jaring internet,2
internet error tolong tweet direspon,2
jaringam koneksi bagaiaman,2
hidup jamdah mate lagingacooi,2
wifiny enggak besok deh meet enggak bisa,2
halo internet kemarin lot download dokumen,2
wifi lu jelek sumpah,2
enggak kualitas internetnya baik bayar mahal mati mulu,2
min kemarin teknisi rumah mati internetnya mati id,2
nih bukti detik enggak sambung,2
tanggal tanggal estimasi enggak dikerjain baik,2
coba restart modem hasil sambung enggak koneksi internet,2
wifi connect enggak internet parah asu,2
wifi enggak nyala,2
estimasi kalo enak langsung pindah provider cek website enggak info,2
nyala hijau los merah kedip cepat,2
kabel lan enggak min cabut stop kontak,2
maaf baca kumat nih error tv wifi,2
wifi lot nih,2
min estimasi tunggu butuh min,2
error,2
internet ganggu kah baik laku pakai kecewa janji baik internetnya,2
min internet mati lagee mati lagee,2
pantau koneksi enggak stabil,2
jancok,2
layan internet problem no signal layan tv min,2
ngent wkakkwmwmkak,2
sadar enggak min banyak errornya benernya enggak mau unggul provider id,2
lot parah kemarin cek qualitybya indikasi ganggu mulu upload attachments email takut indonesia negara maju uplaodnya selesai,2
id langgan internetnya putus direstart modem enggak sambung terima kasih,2
problem minggu wifi mati total benernya bayar kalo kayak tolong baik id,2
problem,2
internet ajaib lapor ganggu kayak lapor ganggu ganti nih,2
lapor tt baik busuk malam speedtest jaring enggak lolos enggak upload throtle main game packet loss gede rto layan,2
jaring wifi los teknisi kunjung rumah tangan kemarin dm adminnya konfirmasi tolong tangan id,2
kayak anjing deh tolong,2
jaring lot,2
pagi lot,2
hmm down takira wifiku,2
anjing pol,2
meninggoy,2
kumat,2
kontol,2
netflixan kampret down,2
mood sunday rusak ganggu,2
down anjing,2
pakai down total kesel,2
nape woy mati daily ganggu,2
allah annoying kayak indihomo deh,2
loss janji baik,2
