username,comment
@fatimahsalha5796,mantap final liga koruptor champion
@danhajj8629,segala kebaikan bagi ibu ini beserta seluruh keluarganya aamiin
@ianroyyan2614,luar biasa aksi korporasi
@cibuq,tetap semangat sabar ibu karen semoga untuk kedua kalinya ibu akan dibebaskan dr tuduhan yg tdk terbukti
@WarisDoang-i1g,hukum yg terlalu ringan tdk membuat kapok para koruptor
@mangatursitorus4934,melihat penampilan ibu ini yg begitu alim penampilannya ga mungkin dia ini korupsi
@navigator335,waktu menjabat tak pakai jilbab eh di cokok kpk pakai jilbab
@danielreichard9680,sby harus diperiksa semua hartanya sampai ke akarnya lihat aja hampir semua mentrinya korupsi
@EvaLina-m3i,sama kaya pertamax dipake cepet abis neda ama shell bp
@rustam385,sangat jujur ibu ini jgn takut dg kejujuran bu semoga dg kejujuran insya allah ibu mendapat perlindungan dan pertolongan dari allah swt
@davidmanalu7934,kpn koruptor dihukum mati bosan dengarin bermunculan para koruptor korupsinya ratusan trilyun lg
@anwarhadja3127,kayaknya akibat sering mengeritik kebijakan manajemen pertamina yg terus merugi di bawah sang komisaris ahok hkhk
@yulipurwanto9960,kpk malah lucu dari kemarin anak buahnya aja buat tumbal atasanya jga yg merintah berani g
@MuhammadSaidSaid-ow1jd,berita top
@SelametAmex,banggakan rakyat koruptor di miskinkan dan minimal penjara seumur hidup
@sisiliadp3080,hukum mati merugikan masyarakat
@arumgondangmanis4580,mereka pengkhianat negara
@YogaPrabawa-dk8pe,jangan lupa usut juga kasus pertalite kenapa harga pertalite bisa lebih mahal dari vivo sebelum vivo disuruh naik harganya pertalite rb vivo rb an something wrong harga subsidi bisa lebih mahal dari harga swasta non subsidi ada something wrong antara bohong pertalite dibilang subsidi padahal nggak atau ada mafianya hmm
@Nameless2017,mantap metro tv
@dodiapriadi4247,lembut kali nangkapnya
@Kang_Maxim,zaman sekarang korupsi bukan makin hilang malah tambah gede ya nominalnya
@Naura9765,bismillah semoga ibu gak bersalah dari komunikasi tegas dan gk malu memberikan keterangan bismillah semoga ibu gak bersalah
@bahagiahidup3188,hukum seumur hidup atau mati biar enggak ada yang meniru korupsi seperti
@jatiwahyono1034,rata bumn banyak tikus kepala item y
@frod2219,sampai jumpa di akherat broo gw konsumen pertamaxx
@AndriSusanto-lk1bf,jaman sby banyak banget scandal pertamina hambalang pelepasan geby australia asabri centuri astaghfirullah beye
@makmursurjono8116,sby dan dahlan iskan terlibat nich
@ultramenGokGok,bro bukan memasak tapi menggosong
@gressasad3737,sekalian panggil megawati atas kisruh di rembang berani g kpk coba buktikan
@NorSetiawan-k3x,ngeri perilaku seperti ini untung nasibku bukan sebagai karyawam bumn nggak kuat sama tanggung jawabnya di dunia dan akherat
@MarikaMau-p4g,berita yg kabarnya terbaik
@edisuryanto7753,kasihan para profesional kalau kerugian dianggap korupsi
@alifakbarnugroho2448,mungkin total semuanya uang negara yang dikorupsi bisa sampai ribuan triliun dari mulai yang sudah maupun belum terungkap gimana si hukum di negeri ini coba seperti negara lain pelaku korupsi dihuku mati kalau begini ga ada perubahan bangsa ini mau jadi negara maju tapi gak mau mencontoh negara maju memang uang adalah segalanya sampai hukum aja diperjualbelikan semoga kita diberikan pemimpin yang amanah dan tegas serta tidak pandang bulu dan tidak hanya omon
@AlfianRasyid-t8z,mantap pak jaksa berdinas tuk negara berantas korupsi
@TanahMas_8,suulliitt diberantas karena toh akhirnya bisa bebas dan dapat menikmati hasil korupsinya
@SarwantyAnty,sampai kapan pun indonesia tidak akan berani hukum mati bagi koruptor karena pemerintah semua pejabat juga ikut terlibat korupsi
@irenemasinambow692,keren presiden kita sikat semua koruptor
@TienSol-j4n,koruptor marak krn hukum indonesia terlalu lemah ruu perampasan aset harus segera di syah kan
@ronxander,ibu yg kuat ya sampaikan faktanya jika itu sebuah kebenaran semoga allah menunjukkan yg benar itu benar dan yg salah itu salah
@ayikofficiall,persetan dengan ham kalau berhadapan dengan koruptor
@IrsanPradiputra,gak ada wajah menyesal sedikitpun padahal uang rakyat juga korban banyak
@sudirmandirman2634,hukum mati atau hukum seumur hidup para koruptor
@komodo52,efek kurang pembagian mah ini klo pembagian nya adil pasti semua diam
@herisumartono2422,instruksi presiden th sby lah presiden nya
@saraswatihariman8318,wanita pintar cerdas luar biasa semoga kuat ya bu karen dan tetap semangat smg allah melindungi
@NurAini-ns8lj,woww mantep
@ragiljumari683,lho kpk harus bener tepat lho dalam melakukan tindak kan harus profesional jangan sampai salah
@johanessaragih1044,karen memang keren maju terus jgn takut harusnya sekelas kompas bisa sajikan data lbh lengkap spt siapa saja dirut stlh karen dan ada apa aksi korporasi apa
@MahkotaWalet,parah
@heromail2903,mahkamah agung adalah titik lemah pemberantasan korupsi banyak tersangka dan terhukum korupsi yg dikorting hukumannya oleh ma kalau indonesia hancur karena korupsi maka ma adalah pihak yg paling bertanggung jawab
@RuangAntiKorupsi,komika tahan nafas berharap saatnya belum pas sambil mengangkat kedua tangan berpikir mundur atau jangan
@NataliaNur-v9m,harus di hukum seberat nya krn sudah buat rugi negars
@dedyrosidi7619,jaksa agung yang nangkap hakim yg meringankan dan membebaskan
@sugipwd8348,aiisshh ya begitulah selama koruptor gk dihukum mati ya masih tetep aja tangkep muncul laennya
@rahmahseptiani4772,hukuman seumur hidup kirain cm harvey moes tryt ada lgi lbh besar
@unangpancing5025,trilyun broo gak mungkin uangnya diminta balik segitu jumlahnya paling sisanya saja m iya sisa setelah ditabung di luar negeri doongg keluar dari hukuman juga aman saja uang banyaakk
@sultanisra8796,seru nih
@muarofah_arfn0401,mantap bangett gilak lovee deh
@madyevanangel1862,kl dilihat dr tutur katanya bu karen tidak bersalah hanya aturan nya aja yg menjebak seolah olah salah dirut sama kaya kejadian dahlan iskan
