comment,label
setuju korupsi  enak hbis di psnjara msih kayaa  semua berbondong bondong kuruptor  hukum ringan  mencuri ayam hukum lama,Negative
engga bakal berkurang rampok koruptor mentalnya sudah sakit  ingat jangan berharap sejahtera jangan berharap indonesia emas semua angan  jalan terbaik yaitu membuat undang negara menghukum mati koruptor  minimal seumur hidup dan wajib memiskinkannya aset harta semua untuk negara,Negative
apakah kasus ini akan terkuak  saya ga yakin  ibu karen kayanya ga berani mengungkap siapa dalangnya dan mafia  nya  cobalah kita liat kedepannya,Negative
setiap koroptor kalau di tanya para awak media  selalu mengelak dari apa yg di koropsi,Negative
mau beli beras buat makan  anak minta uang buat sekolah  belum lagi bayar token listrik  ya allah rakyat kecil di jahatin mereka,Negative
ngejar komisi itu dari importir  pemalsuan produk dah biasa dan terjadi diseluruh bumn dalam berjalannya pengadaan barang dan jasa di bumn  makanya dulu pas saya di jamsostek  klo ada vendor pengadaan bilang biasanya dan ud biasa di pertamina atau bumn lain ngasih amplop sama spect ga sesuai tp ditulis spec sesuai  pasti saya coret dari daftar pengadaan  mengapa  karena jamsostek auditnya ada internal  kpk  bpk dan audit eksternal  ngapainn belain duit panas begitu cuma buat dekam di penjara,Negative
bungul  pejabat korupsi aja kerjanya,Negative
indonesia mungkin butuh tumbal  satu atau dua orang koruptor yang dihukum mati  biar ada efek jera,Negative
lembutt banget memperlakukan kotoran babi ini  coba kalo org miskin td  bukan main kalian,Negative
setelah ini nunggu kasus sumberwaras yang sudah mulai lapuk di malam jamur  jangan sampai hilang itu kasus,Negative
dari kemarin korupsi besarn kejaring sama kejagung mulu  kpk mana woy  apa masih ada yg namanya kpk  bubarin aja kpk gak guna  ngabisin anggaran aja,Negative
kpk tidurkah,Negative
para korupsi dg penuh bangga dr roman wajahnya susah cari orang jujur di indonsia,Negative
pertamina adalah perusahaan tidak sehat  dengan turn over rate karyawan mendekati,Negative
mereka udh bnyk uang nanti jg hkmnnya ringn sprti h mz,Negative
bodoh banget disuruh djowoko makan taek mungkin si karen mau juga walau di tekan pakai perpres psn tolak dong bu  perpres psn dah banyak makan korban termasuk rakyat banyak  yg lagi viral noh di rempang tanah melayu  kasihan dah kena jebakan tipu perpres psn,Negative
ini penimbun bbm yang sesungguhnya,Negative
m a sdh menyatakan bukan pidana alias kebijakan yg bersifat hitungan usaha seperti kkn sdh bagian orang elite diluar korupsi yaitu kolusi dan nepotisme sdh jelas salah tapi marak,Negative
harus nya si hukuman nya di abisin semua harta nya sampe keturunan klo nga dipenjera seumur hidup,Negative
perusak masa depan rakyat,Negative
audit semua yg berhubungan dengan negara,Negative
jujur kami rakyat merasa pertamina saat ini lah yg tak mampu dikelola dgn baik  bayangin aja kilang minyak aja terbakar  itu safety nya bagaimana sih  trus maaf selagi komisioner kpk tidak di ganti jangan harap rakyat akan percaya dengan kpk,Negative
hukum mati lah udah bega liat koruptor merazalela,Negative
hukum mati aja sekalian biar ada efek jera,Negative
semangat ibu  alloh bersama orang yg benar,Positive
masa bodoh buat karen  mau kebijakannya rugi  juta triliun  itu bukan uangku itu uang negara  uang habis tinggal ketok palu lagi,Negative
tppukan saja dan hukum mati pelakunya bos  itu cuma saran,Negative
cara bawa pemberitaan nya terbaik,Positive
kita sbg rakyat sedih tp alangkah baiknya kita jg bercermin  apakah ketika truk terguling kita jarah  apakah lawan arah  dsbnya  karena percuma nuntut pemerintah bersih kalao pas jd rakyatnya udh ndablek,Neutral
kpk tidak mengungkapkan bukti ibu karen mendapatkan keuntungan pribadi atau uang akibat kebijakan ini  agak aneh ini atau mungkin blm ada yg diungkap yaa,Negative
jangan banyak alasan perintah jabatan jika merampas uang rakyat begitu senang dasar tikus berdasi,Negative
negara konoha pasti hukumnya  tahun,Neutral
paling hukumannya thn,Negative
sita assetnya  uu perampasan asset secepatnya disahkan dpr  miskinkan koruptor  tks,Negative
dasar bidab semoga wanita laknat ini di hukum mati koruptor yang tidak bisa menjaga amanah,Negative
kelas,Positive
bener ga mrk semua koruptor yg sebenarnya  nampak msh muda dan ga nampak ga cerdas begitu  jgn itu hanya boneka aja  koruptor sebenarnya ga ditangkap,Negative
hukum mati,Negative
kerja kejagung sekarang jauh lebih bagus dari kpk setelah ada laporan diselidiki dan diciduk  kpk gagal sebagai fungsi seharusnya tidak terjadi korupsi kalau kpk cepat bertindak,Neutral
namanya koruptor buka itu masker  biar jelas wajahnya,Negative
koruptor ko pada dukung komen nya,Negative
alah sdh lah paling penjara thn kaya yg udh,Negative
periksa proses supply chain oleh pertamina dalam penetapan pihak broker pt navigator khatulistiwa  sepertinya mafia migas sudah merasuk dalam  sukma  pekerja pertamina  entah itu pekerja pejabat  impor  maupun pekerja pejabat karir  perlu  keteguhan niat  dari pemerintah membasmi mafia migas di tubuh pertamina,Negative
korupsi timah kok gak diborgol ya  apa karena korupsinya terlalu banyak  wkwkw,Negative
muka org korup lucu y,Negative
mau percaya negara jg percuma  sekelas pertamina saja mental nya maling,Negative
bakal keluar lagu baru,Neutral
begitu lah nasib jadi bawahan selalu di jadi tumbal politik atasan ibu karen,Negative
jadii kalo punya anak sekolahin setinggi tingginya biar jadi orang petinggi terus ajarin korupsi sebanyak banyaknya kalo korupsi dikit nanggung mending jangan korupsi soalnya nanggung aja di negara ini sih mending sekalian toh dendanya dikit penjara pun bentar di penjara juga enak ini kaya di hotel,Negative
ini berakibat langsung terhadap masyarakat  layaknya pelaku dihukum mati,Negative
ya memang di pertamina  perminyakn masih banyak magia fari yg skalabesar dampai yg kecil,Negative
ada yg aneh dari mata mereka kok tenang sekali,Negative
besok atau lusa mungkin direktur kontraktor suplayer yg membangun bandara yg kemudian mangkrak bakal jadi tersangka  meski proyek itu perintah presiden,Negative
sudah lama pertamina banyak maling kok baru sekarang  itu sudah jd sarang korupsi sudah lamaa,Negative
itu penjaranya vvip ya sama saja,Negative
ya minimal lebaran di dalam  pantesan pada kaya kerja dipertamina,Negative
jadi selama ini saya pake pertamax oplosan,Neutral
di akhir video terdengar pertanyaan dari wartawan  waktu itu presidennya siapa bu,Neutral
presidennya emang siapa tahun,Neutral
kasihan ibu karen bukan wajah koruptor mungkin karna sistim,Positive
jangan bukan bbm aja yang di oplos tetapi lpg juga diganti di oplos gas bio gas,Negative
metro tv mengambil peran perwakilan rakyat dari dpr,Positive
ayo buk  jangan mau dipenjara sendirian  bongkar semua ke media  viralkan,Positive
broker mah bebas,Negative
hadeuuh kog semua nya sama waktu menjabat nggak sesuai ceramah wejangan di saat tidak menjabat kita semua tahu pertamina dari dulu begitu aja ke susul sm petronas dr negeri jiran,Negative
kok rugikan negara  harus nya merugikan konsumen  jelas pertalite di jual jadi pertamax kok merugikan pemerintah  kecuali pertamax di jual pertalite gitu baru merugikan pemerintah bisa di gugat dengan uu konsumen  pertamina wajib memberi kompensasi ganti rugi ke konsumen  kira lbh ada yg mau bantu konsumen gk ini untuk menggugat pertamina  kalau melihat berita nya jelas di lakukan oleh  anak usaha pt pertamina ini bukan advokat pdip kalau benar bela wong cilik itu gugatkan kasus ini  jangan hanya bantu hasto kristyanto,Negative
goblog siah,Negative
marodar dia karorupsi bae jurig,Negative
nikmati kemewahan dan fasiltas mewah sebagai dirut pertamina sesudahnya nikmati penjara,Negative
inputnya revolusi mental outputnya efisiensi d  ck,Negative
ujung ujungnya bawahan yg kene mental  hebatnya jmn pakde  jmn sby netral  besannya aja kena mental  sabar bu skg susah nyari kambing warna pink  kbnykn kambing hitam,Negative
mirip kasus bts,Neutral
ntar kalo kasusnya udah masuk pengadilan  jgn sampe hukumannya jadi  taon jg yee,Neutral
ini mahluk lebih buruk dari maling rambok karna yg dirugikan bukan hanya  orang tp seluruh rakyat indonesia apa hukuman yg paling cocok buat mahluk ini,Negative
raut mukax kok santai sekali tenaang adeem  sperti biasa aja di tahan sama kejaksaan,Negative
rakyat yg rugi,Neutral
gilaa semuaa para koruptor hampir semua nyampe triliunan  sekayaa itu ternyataa negara kita,Neutral
mahasiswa seluruh indonesia dpr ri beserta ketua dpr ri belum mau mengesahkan ruu perampasan aset para koruptor  tolong para mahasiswa seluruh indonesia kepung dan duduki gedung dpr ri secepatnya agar supaya dpr ri beserta ketua dpr ri secepatnya mengesahkan ruu perampasan aset para koruptor  rakyat indonesia hanya berharap kepada para mahasiswa sebagai generasi penerus bangsa ini  dpr ri dari era presiden joko widodo hingga era sekarang presiden prabowo tidak mewakili rakyat indonesia  dpr ri sepertinya pengkhianat rakyat indonesia  rakyat indonesia sudah tidak percaya lagi kepada semua anggota dpr ri,Negative
yaallah berapa tamaknya dan serakah nya wahai manusia ini  klu bisa hukum mati aja pak presiden  di miskin aja keluarga nya  kerena keluarganya ikut serta tamak dan sarapan,Negative
disinilah borok nya bangsa kita sudah pernah korupsi dipenjara masih dipilih,Negative
luwak biasa  t,Neutral
manyala indonesia ku,Neutral
paling hukumnya ringan denda m sudah sisanya aman  rakyat sdh tau jawabannya,Negative
gw ngrasa makin kesini kpk cmk jdi alat untuk menjatuhkan lawan politik dan juga untuk cuci tangan para koroptor ya  dengan cara mengkambing hitamkan orang  masik inget kpk zaman sby kasus ektp  partai penguasa  demokrat  di obok sma kpk,Negative
bongkar siapa di belakang layar,Neutral
semangat untuk pa kapolri untuk memberantas korupsi di pt pertamina,Positive
orang ini pandai jika dari awal tau akan menyalahi ketentuan dan akan kena sanksi maka sudah seharusnya sesuai sumpah jabatan maka akan mengundurkan diri saat itu juga atau melawan perintah jabatan lebih dahulu sumpah jabatan daripada perintah jabatan bu jangan ngeles lagi,Negative
makanya koruptor hukum mati saja  kami tidak akan merasa sedih dan kehilangan kok,Negative
contoh salah satunya pejabat indonesia,Neutral
untung sy ga pernah isi bbm pertamax kl ga terpaksa,Neutral
tdk perlu menggunakan masker  buka saja maskernya biar jelas tampang malingnya,Negative
mantap  tidak ada yg abadi,Neutral
valley of the dammed  dragon force,Neutral
awal mulanya proyek lng ini mau digunakan untuk mengantikan lpg yang biaya importnya sudah terlalu besar dengan mengunakan jaringan pipa gas lng ke rumah  ya tapi mungkin pemerintah lebih memilih eletrifikasi di semua sektor,Neutral
jngn berbeli belit intinya mh minyak pertalite d oplos jd minyak pertamax klo mobil gd kayak fortuner pajero udh mokbrok itu k mesinnya,Negative
penipu  minjak pertama ditangkap  manusia  menjadi  manusia tambah lagi  hinga sekarang menjadi  manusia  karna tetangga kanan kiri bisa mencuri kok saya gg  jadi ramai  ikut menikmati maling uang negara jika ditangkap gg sendirian banyak temanya  dasar manusia rakus  semoga karmamu di bayar kontan,Negative
hukumann matii,Negative
mna ada yg mengakui pdhal mh dh tersangka  yg d pke pngacara byaran tinggi dn tdk mngkui salah wlpun dh jdi tsk  ngkakbeud  negara ini,Negative
serius yang rugi negara  kalau warganya gmn y  hahahaha,Negative
usut sampai akar nya tdk ada yg kebal hukum di negeri ini,Positive
semoga bu karen selalu diberikan kesehatan,Positive
seharunya viral inih,Neutral
semakin berani sekali koruptornya maantab  krn hukum di indonesia leemah sekali  nggak ada yg berani mengesahkan uu perampasan aset koruptor nggak ada yg berani pengesahan hukuman mati bagi koruptor makanya penegak hukumnya pada berani main kong kalikong sama koruptor nggak ada yg berani audit hakim jaksa serta polisi yg rentan bermain suap dg koruptor,Negative
t itu baru per tahun pertamax sejak tahun berapa  hitung sendiri  kalo pertamina tidak bisa memberikan bbm dengan harga murah mending bubarin aja  ganti petronas milik malaysia,Negative
harusnya dibagikan komik siksa kubur  buat para pejabat,Negative
presiden prabowo yg korupsi hukum mati supaya yg lain tidak ikut makan uang haram sikat babat habis hore ini baru kejutan hore,Negative
pemerintah kurang tegas urusi korupsi sampe kiamat ga bkl ilang itu korupsi  siapapun presideennya ga bkl bs brantas korupsi,Negative
cobak para koruptor diperlakukan kayak waktu nangkap maling atau rampak pasti lebih seru,Negative
semboyan akhlak kelakuan maling tapi ga terima dibilang gelap  hidup ndasmu,Negative
plot twist ternyata larangan masukan ke wadah adalah untuk menutupi hasil oplosan,Neutral
berati bu karen hnya ikutin perintah  klo sy liat bu karen jujur bilang apa ada ga di tutupi,Positive
jadi tahanan aja masih bisa make baju khusus  beda kalo masyarakat biasa udh pake oren  yg kek gini kok masih diperhatiin  kpn sih sampah  berdasi begini dibasmi di indo,Negative
bener  putus urat malu  model anak istrinya kayak apa itu  berpesta pora dgn uang hasil korupsi,Negative
metrotv sedang memasak,Positive
yg gini dibekuk  bukan efisiensi dana pendidikan,Negative
alhamduliilah aku masih bersyukur wlpn hdp sederhana bngt makan seadanya bngt  wlpn hak rakyat seperti kami banyak dizholimi para koruptor  smg lbh banyak lagi yg terungkap dan tertangkap para tikus berdasi ituu,Negative
ahhaaii,Neutral
mantapp  korupsi masall memperkaya diri sendiri  muke ganass duwit,Negative
begitu kayanya negeri ini begitu banyak uang negara dirampok secara ugal an tp bangsa ini masih ada tuhan masih sayang sama kita,Negative
koruptor iblis gak punya otak,Negative
hukum mati,Negative
adili ahok dan mak lampir,Negative
batalkan penggunaan barcode khusus pembelian pertalite krna pertamax sama aja pertalote,Neutral
ada unsur penjajahan ekonomi  pemiskinan negara dg sengaja membuat rugi semua lembaga perusahaan negara untuk kepentingan kelompok bekerjasama dg asing aseng oligarki dg tujuan invasi,Negative
setan lu mtr ane pke pertamax selama ini,Negative
miskinkan sita semua hartanya dan hukum mati pasti indonesia akan kaya raya,Negative
tangkap ahoax  memelihara mafia,Negative
mana sih bumn yg untung  semua merugi  heran,Neutral
t itu kerugian  tahun  ini sudah berjalan  tahun tinggal kalikan saja  harusnya hukuman mati,Negative
profesional jd korban nggak punya backing politik,Negative
pantesan harganya naik setiap bulan seenakny menipu rakyat moga ente kena azab alloh amien,Negative
biarkan bro memasak,Neutral
semakin berlombah kurupsi besaran  pelaku tidak akan jerah sebelum hukuman mati bagi kuruptor,Negative
korupsi ratusan milyar  penjara  tahun,Negative
ngak tahu malu gaji udah besar  tetapi tukang mencari uang rakyat hukum lah seberat  berat nyo,Negative
sihh,Neutral
kasus pertama ditersangkakan bu karen bisa bebas tdk terbukti eh sekarang ditersangkakan lagi kenapa nih,Neutral
korupsi di jaman wowo dijamin aman kalau di kembalikan diam prinsipnya si wowo korupsi diam di kembalikan diam dijamin aman sentosa kata wowo,Negative
klo semua jelas aksi korporasi dan atas intruksi presiden dst mustinya risikonya bukan pribadi dong  ini kok kpk menyeret pribadi  aplg putusan korporasi pasti diputus secara kolegial,Negative
muak,Negative
sebaiknya tikus ini segera dihukum mati saja,Negative
mantap baju orange  lamun te benang mh moal ngoceh  rek diem we  enak gs benghar mh  proses hukum tuman  ngoceh terus mimiti korupsi taun baraha ibu korupsi,Negative
ayo  ngomong siapa semua  biar terang bulan,Neutral
jidatnya ada hitam itu kena apa itu,Neutral
wajah culun tp koruptor kelas kakap  erick tohir gak ada kabarnya ttg kasus ini,Negative
klo hanyabdi tangkap dan bayar denda pasti akan ada yg ukangi hal yg sama  sdh sebaikany uu perampasan harta para koruotor di sahkan dan hukum penjara seumur hidup atau hujum mati sekalian,Negative
diguilotin aja,Negative
masih mau nanya kenapa aceh ingin merdeka,Negative
copot itu baju akhlak nya  maluin,Negative
garuda juga katanya rugi terus  padahal harga tiket plg mahal  perlu diselidiki  jangan byk tikusnya juga,Negative
ya allahh,Neutral
mau jadi apa indonesia  korupsi makin merajalela orang miskin semakin kesusahan,Negative
kasian bu karen di kambinghitamkan terus,Negative
rakyat matiatian mencari uang hanya untuk makan tapi mrk seenak nya memakan hak rakyat,Negative
kali ini aku lebih percaya nyanyian karen  karen adalah anak buah mana berani membantah,Positive
bensin oplosan digratiskan ntk motor  koruptor hukum mati karena selama dia masih ada  pasti akan lakukan lagi dgn caranya yg lain,Negative
selama uu sita aset bkm disahkan  selama koruptor blm di hukum mati  walaupun ada kejagung dan dibantu  kpk pun  korupsi tdk akan hilang dr negeri ini selama hukuman yg terlaku ringan di negeri ini  namun tetap saya salut ama kejagung,Negative
kasus korupsi yg begitu guede  mungkin masih akan ada penegak hukum yg bermain  yaitu dengan memberikan hukuman ringan  apalagi kalau bukan motivasi duit  jadi memang sudah benar hancur negeri ini  sudah begitu buanyak kasus korupsi yg ditangani penegak hukum untuk memberantasnya dan supaya ada efek jera  malah si penegak hukum menjadi bagian dari koruptor yaitu dengan cara meminta bagian dari koruptor agar hukumannya jadi ringan  jadi sangat jelas  maling ditangani maling  akhir ya semua jadi maling  lebih luas lagi jadi negeri para maling  mau gak muak ya muak  para maling saling berkilah  rakyatnya jadi stres  melihat negeri kok isinya para maling,Negative
becik ketitik ala ketara tetap semangat ibu karen agustiawan pada waktunya kebenaran akan terungkap,Positive
sopan sekali perlakuannya terhadap binatang  tersebut,Negative
hukuman mati lah pak gaji ku sebulan jt korup segitu bnyknya,Negative
belum bisa dibuktikan apakah karen tidak bersalah atau bersalah melakukan korupsi  ini adalah kedua kalinya ia disangka terlibat korupsi jumbo,Neutral
mantap ibu ini  jelas di buka,Positive
haduh sekalian matiin tuh korupsi,Negative
ini ibu mau dikorbankan oleh rezim,Negative
koruptor ini pantas dihukum mati  karena sdh merugikan hajat hidup orang banyak,Negative
hukumnya di gantung saja pantesan bbm mahal,Negative
mantap bu  luar biasa tegar semangat tegas dan lugas  bongkar aja bu biar tidak jadi korban  sabar bu  sehat selau dan keluarga tabah dan ikhlas menerima ujian  aamiin yra,Positive
bagaimana perhitungannya merugikan negara  apa dananya tidak masuk kas negara  kalau tidai masuk kas negara  kenapa lama baru kerkuak  yang rugi sebenarnya masyarakat  karena beli minyak yang tidak sesuai,Negative
mnding beli pertalite,Neutral
terlalu gosong chef,Neutral
mereka sudah mafia yg tentakelnya disemua sendi  kaki tangan mrk yg bolak balik bakar kilang dari balikpapan  dumai  plumpang  cilacap dan balongan,Negative
sabar nggih bu karen  kulo yakin njenengan mboten klentu  becik ketitik olo ketoro  sinteno sing ndolimi jenengan bakal ciloko bu  kulo ndongo kagem njenengan,Positive
kpk belom ada gebrakannya nih masa kejagung terus yang mengungkap kasus besar gini,Negative
bajingan dimana mana korupsi,Negative
testimoni jujur sebagai pengguna lama pertamax  saya pengguna pertamax sejak lama  kandungan sulfur pada pertamax memang sangat tinggi diangka ppm dimana angka ini sama dengan tingkat kandungan sulfur pada pertalite  bahkan pertamax ini hanya bbm berkualitas euro  kandungan sulfur yang tinggi ini mengakibatkan endapan kotoran kerak karbon di dalam ruang bakar mesin  selama saya menggunakan pertamax rata setiap  tahun sekali rotax fuel pump saya pasti rusak  dan setiap saya bongkar mesin saya menemukan piston di dalam ruang bakar mesin saya dipenuhi endapan kotoran kerak karbon  jadi klaim yg mengatakan penggunaan bbm jenis pertamax dapat membersihkan ruang bakar mesin adalah bull shit,Negative
coba kejagung juga di periksa,Negative
sepertinya  hasil mreka korupsi di bagi buat petinggi negara  juga ga ada hukuman berat membuat ga ada kapoknya korupsi  shit my country,Negative
bandit,Negative
kl tdk berbuat tdk mungkin ditahan  dan sebutin aj semua yg terkait  ko baru sek pake hijab,Negative
mahkamah agung adalah titik lemah pemberantasan korupsi  banyak tersangka dan terhukum korupsi yg dikorting hukumannya oleh ma  kalau indonesia hancur karena korupsi maka ma adalah pihak yg paling bertanggung jawab,Negative
di hukm mati saja,Negative
karen ini wanita anggun yg membanggakan  punya prestasi mentereng sayang dalam perjalanannya kalah pengaruh dg penjahat kakap dia tak berdaya akhirnya jadi tersangka oleh kpk  siapa yg nyuruh kpk,Negative
hukum mati  yg setuju berarti sependapat,Negative
bg erik mantap sebagai bumn bg erik ok bg erik bg erik  ntot,Negative
sudah waktunya koruptor di hukum mati kl mau negara ini makmur,Negative
gini masih percaya sama danatara  ini baru bumn  apa jdnya klo holding  ckckck,Negative
ayo bu  buka an saja  biar kebobrokan terbuka yg bau juga tercium,Negative
paling mentok  taun kalau berkelakuan baik dan ada tanggungan keluarga bisa lebih ringan lagi,Negative
inilah yg bikin indonesia gelap,Negative
orang semacam lebih pantas disebut  penghianat negara  daripada koruptor  mereka bukan sekedar merugikan negara dan menyengsarakan rakyat tapi secara jelas bertujuan menghancurkan negara  lantas hukuman apa lebih yang pantas untuk mereka  para penghianat negara di negeri manapun berhadapan dengan uu makar  tidak ada keringanan untuk para pelakunya  uu korupsi terlalu ringan untuk kasus ini  mereka ini  enemy of the state  melakukan permufakatan jahat untuk menghancurkan negara  semoga menjadi pertimbangan untuk penegak hukum untuk menerapkan vonis dan sekaligus menjadi contoh efek jera untuk pejabat lain,Negative
klu konsumen yg dirugikan selama  pembelian pertamax  mendingan boikot pertamina  kita ganti shell saja atau yg lainnya,Negative
saya ga yakin dia seberani itu  kalo tidak ada perintah dari pejabat yang lebih tinggi,Negative
pak prabowo  ini suara rakyat semut  t itu bukan brg sedikit  harap harga bbm di kalkulasi ulang  dan hukum seberatnya semua yg bersangkutan  pembelian pertamax beda  lebih mahal dr pertalite itu sdh buat kita sengsara,Negative
koruptor  hukum mati aj krn sbg penghianat bangsa,Negative
dari dulu ga pernah beli pertalite selalu pertamax dgn alasan spy performa kendaraan ttp terjaga  ehh ditipu  sampe diketawain temen yg selalu beli shell,Negative
detail dan jelas tahu bu karen ini  bongkar aja semua bu,Positive
klw tak bersalah tak mungkin ditetapkan sebagai tersangka dan ditahan,Negative
semangat bu  harusnya ibu tetap kerja di swasta oil barat saja  sayang skill disiakan dan jadi korban di negara sendiri  pelajaran generasi muda,Positive
kenapa orang baik dan jujur kok mesti jadi korbann  semoga azab yg dijanjikan oleh pencipta secepatnya ada  amin,Negative
yuk pindah ke shell,Neutral
hehehe  di indonesia ini kalau hukum benar di tegakkan otomatis akan banyak sekali pejabat yang masuk penjara,Negative
betul kata koh lung  minyak di indo ron  gak asli ron nya segitu  pasti lebih rendah,Negative
setiap berita yg muncul gk pernah kasus lain  korupsi mulu,Negative
ibarat pembunuhan ini pembunuhan berencana skrenarionya benar tersusun rapi kl pembunuhan berencana korban satu orang aja hukuman mati ini sih lebih dr hukuman mati,Negative
semua lembaga negara konoha curaption  bahkan lembaga kementerian agama  ngeri  negara paling religious dimuka bumi,Negative
pertamina jadi atm pejabat,Negative
masyrakat d negeri ini  tolol selalunya lihat judulnya dan lihat gayanya asal judul bagus komentar bagus walau iya tdk bener kalo penampilan sopan walau iya tukang makan uang haram di bela di puji  itulah ketipu semua dgn penampilan para pemimpin,Negative
perampok berdasi,Negative
hukum mati aja  untuk koruptor negara di atas t,Negative
tombol alam menangis,Negative
aspirasi rakyat  agar indonesia tidak gelap miskinkan dan hukum mati atau minimal seumur hidup bagi para koruptor,Negative
saya curiga  mungkin ini bisa merembet ke ex petral,Neutral
negara ini hancur di karenakan bangsa sendiri yg berwatak koruptor dan mereka tidak cinta masa depan negara ini maupun rakyat miskin,Negative
siapa sebenernya yg dibidik,Neutral
maaf brp tahun yah hukumanya,Neutral
negara ini hancur di karenakan bangsa sendiri yg berwatak koruptor dan mereka tidak cinta masa depan negara ini maupun rakyat miskin,Negative
hukum mati koruptor penghianat negara,Negative
di hukum dor yg lain biar jera,Negative
aneh ya bila pertamina rugi terus  padahal rakyat tidak boleh ngutang belinya bbm,Negative
bocoor lagi,Negative
hukum mati aja itu para setan,Negative
pertanyaan penting nya adalah  siapa saja oknum yang menikmati uang sebanyak itu  siapa yg kontrol atau yg mengawasi dan apa alat kontrol nya spaya itu tidak terjadi lagi ke depan nya  salam akal sehat  salam bongkar semua oknum nya yg terlibat hal itu,Neutral
jgan harap indonesia maju  sebelum undang koruptor yg terlibat dihukum mati  minimal dimiskinkan di bui selamanya sampe modar,Negative
ga akan ada efek jera hukum lemah,Negative
ada yg jidatnya gosong masih korupsi,Negative
koruptor dimaafkan  tenang,Negative
lagi senang menikmati pensiun malah dipanggil lagi,Negative
orang  seperti inilah yg membuat rakyat makin susah kita simak berapa tahun dia akan di penjara,Negative
hukuman mati pkoknya harus hukuman mati,Negative
hukuman mati harus segera di buat,Negative
kejar terus dan tangkap bandit  osak perilaku minyak  licin  seperti minyak  bisa jadi lebih dari  orang tersangkanya bila  terbukti  hukum seberat beratnya,Negative
bongkar semua bu  biar pake gelang yg sama,Negative
udah hukum mati aj  kalo tidak buang aja dari indonesia,Negative
ini ada lg ni  bateng klo ga berani ngasahin hukuman untuk koruptor potong aja banteng nya,Negative
apa ini yg menyebabkan kmrn ramai tengki karatan padahal isi pertamax,Neutral
hyu bu bongkar semua jgn mau dikorbankan,Negative
lbh baik nggk ush cari pembenaran dimedia bu  kasihn ibu sdh diborgol  argumen saja dimedia,Negative
hukum mati sj pak,Negative
itu waktu pemimpin sby  koptor baru di proses,Negative
terkuak sudah ksus mega coruptor pertamina ini tinggal negara mau ggak tindak tegas para coruptor biadab ini,Negative
pertanyaannya apakah pak wowo brani buat uu hukuman mati atau uu perampasan aset klo brani saya acungin jempol,Negative
kapan baru ada pemimpin di negara ini yg bisa basmi org yg korupsi,Negative
di tumbalin,Negative
kalian semua penipu rakyat,Negative
hancur indonesia gak ada ketegasan,Negative
orang rakus  tamak gak pernah bersyukur  buat apa sj uang segitu  mati ya gak di bawa  paling gak kerja sendiri  usut tuntas,Negative
ayo rakyat stop bayar pajak sebelum mulyono plus leluarga dan kroni  nya di jebloskan ke penjara saat nya rakyat n bergerak indonesia akan tenggelam,Negative
wkwkwk  kasus masa sby,Neutral
kasus firli beku,Negative
itu presiden nya siapa itu mentri nya siapa sikat berani ga kpk,Negative
hukum mati wae,Negative
