username,comment,predict
@RahmatNata-q3j,alhamdulillah terima kasih bapak kejagung ri action seperti ini sangat membahagiakan sekaligus membanggakan kami rakyat nkri habisin bersihkan sampe akar nya penghianat rakyat b e n a l u bangsa dan negara b r a v o s e m a n g a t salam rahayu,Positif
@ghazi283,karena orang pandai dan banyak berkecimpung di dunia migas banyak jasa yang diberikan di sektor migas kasus ini semua dipolitisir demi kepentingan politik dan golongan tertentu,Negatif
@Gun-cu4vn,kl emang bersih ibu maju terus sampai biang keroknya ketemu rakyat sll mendoakan orng yg bersih smga masalah ibu cepat selsai aamiin yra,Positif
@adiwijayanto5561,bismillah semoga ibu diberi kesehatan kesabaran dan mendapat jalan keluar serta petunjuknya,Positif
@trihidayati4422,mantap bu karen seorang wanita yg tangguh dan berani semoga beliau kuat menerima ujian berat ini,Positif
@mikoLea,mohon informasi apakah pertamax dari pertamina yg beredar sekarang masih yg dioplos,Netral
@WawanHermawan-es8uj,mereka ternyata impor pertalite dijual jadi pertamax selama ini konsumen dirugikan beli pertamax ternyata isinya pertalite,Negatif
@apulpsimorangkir7877,semoga menjadi pintu masuk mengungkap pelaku utama sebenarnya yang telah menguasai bisnis minyak di pertamina tahun lebih orang tsb hanya generasi baru saja tetapi pelaku utama yg sudah mengakar belum,Negatif
@gabrielmaliq,tanpa teks hapal semua detail di jawab semua pertanyaan secara lugas tegas dgn tatapan penuh keyakinan tanpa mencla mencle,Negatif
@waprasetyo6855,tetap semangat bu semoga allah swt kasih jalan terbaik buat ibu dan keluarga serta pejabat yang benar berjuang buat kepentingan rakyat,Positif
@christinesugito2561,rampok berjamaah melibatkan banyak pelaku dan merugikan konsumen dan jangka waktu rampoknya tahun gimana negara tidak bangkrut,Negatif
@Aldi__mil,korupsi lagi korupsi lagi gmana korupsi mau mengecil kalo tuntutannya rendah gk ada yg peka gk ada yg takut rakyat lah yg kena akibatnya pdhl kita gk salah negara demokrasi,Negatif
@MEDIAARMY,hukuman mati bagi para korupsi,Negatif
@rajabatik4904,ibuk ini kuat mungkin krn merasa tdk salah,Positif
@ary1ststyowati291,y allah uang itu yaa buat apa aj pak d saat rakyat bingung cari pekerjaan cari uang cari makan,Negatif
@papapjoshua3563,ibu karen ini korban rezim laknat,Negatif
@BajJangNur,ayoo bu kare bongkar bagimu negeri indonesia maju merdekaa,Positif
@aremajaya6189,klo memang benar bukan kemauan pribadi seret semua yg bersangkutan biar tuntas,Netral
@bambangjanuarwinarto2642,akibat tindakan perlu dibawa ke pidana tetapi tindakan mengoplos dan berakibat pada kerugian rakyat yang menggunakan harus ada tindakan pelaku harus mengganti kerugian ke semua rakyat indonesia yang sudah di tipu dengan tidak sesuai yg telah dibeli itupun sudah tahun dilakukan ganti kerugian pada rakyat indonesia oleh pelaku,Negatif
@budimansitorus4373,pada masa siapa keputusan nya ya katakan tidak pada korupsi,Negatif
@Alok99daimen-iq8cn,beda dari yang lain jos metro tv,Negatif
@meirzarousvianto2372,sedih buu saya mendegarnya ini dulu mendengar ibu karen d bebaskan demi hukum saya ikut senang ibu salah satu putri terbaik indonesia semoga ibu dpt melewati cobaan ini dan d berikan kekuatan oleh allah swt buktikan semua d persidangan bu karen,Positif
@1030type,ama dirutnya produksi kilang di turunin biar bisa open impor minyak mentah masih kurang kenyang pertalite di oplos di jual pake harga pertamax ini di sektor minyak belum di beras gula dan lain di sini masyarakat bisa gamblang liatnya apa itu mafia terima kasih orang yg udah nangkep ini,Negatif
@Sapu-sapu.official,kelazz,Netral
@Luxire_yomeware,ini yg kita suka,Netral
@fredoaji9539,perempuan tegas dan lancar menjawab dengan sistematis tidak menghindar dan berbelit hebat sih kl diliat dr wawancara td mudahan proses hukum berlaku jujur dan objektif,Negatif
@PanglimaPejuang,selidiki juga itu telkomsel mesti di audit juga telkomsel,Negatif
@sayidhelmy610,sita assetnya uu perampasan asset secepatnya disahkan dpr miskinkan koruptor tks,Negatif
@dodokdai4208,semoga yg penguasa dzalim segera kena adzab,Netral
@esaefullah965,hukum mati dengan cara disuruh minum pertamax rasa pertalite bukan hanya negara yang dirugikan tapi juga jutaan konsumen yang selama ini sudah tertipu dirugikan oleh perbuatan mereka bagaimana juga pertanggungjawaban pertamina dalam kasus ini,Negatif
@iwanibo0710,hukum gantung bos buat korupsi,Negatif
@rudika2095,setenang itukah wajah koruptor,Negatif
@RevaNur-i6i,kasihan karen jadi kambing hitam firli berulang kali jadi eksekutor,Negatif
@galileogalilei8213,kewenangan mengambil sebuah kebijakan oleh pejabat publik sekarang bisa jadi ranah pidana korupsi padahal tidak ada bukti aliran dana ke rekening pribadi ngeri sekali model penegakan hukum di indonesia sekarang mudah mengkriminalisasi pejabat publik untuk menaikkan popularitas institusi jangan heran ke depan pejabat publik bakal jadi pasif dan enggan mengambil keputusan karena kalau keputusannya salah secara bisnis risikonya bisa dikriminalisasi kpk dan kejaksaan,Negatif
@Sukarji-z1g,mantap kejagung dan kpk semoga dalam kerjanya amanah jujur dan terbuka demi kesejahteraan masyarakat indonesia,Positif
@NgajiMedsoS,tolong bu karen dijaga awasi menu makanannya selama di tahanan karena mafia migas bisa meracuni bu karen,Positif
@ishamare739,menyala shell kuhh,Netral
@2000get,yang terhormat jaksa agung hakim dan penegak hukum proses mereka dengan hukuman terberat miskinkan dengan menyita aset mereka agar menjadi pelajaran bagi mereka yang mengkhianati negara karena pelanggaran terhadap undang dengan mengeruk kekayaan bumi pertiwi untuk kekayaan pribadi adalah pengkhianatan cita bangsa,Negatif
@MaatZ_77,metro sedang memasak,Netral
@surolawe2222,bebaskan krn perintah aturan,Netral
@muhammadfazalabiyakhsya113,dukung poll,Netral
@voltes1979,hukum mati semua koruptor dimiskinkan keluarganya aminn,Negatif
@mashudialanwary5900,dan semoga seperti sebelumnya bahwa beliau bebas di tingkat ma karena memang keputusannya adalah keputusan korporasi dan pernah mengikuti kuliah umum dulu di kampus beliau memang orang yang pandai dan berintegritas semoga allah mudahkan urusan bu karen aamiin,Netral
@srimartini7400,pertamina berjaya di bawah kepemimpinan ibu karen satu wanita tangguh cerdas,Negatif
@iansupriyantoian4671,semoga ibu sehat selalu dan para bajingan nya presiden bisa di tangkap juga yang terlibat,Positif
@saidadebataradja5793,sita semua aset tiap oknum tegakkan fasal maksimal lho spt tatakelola timah agar ada keadilan utk putusan hukuman nya semangat terus aph,Negatif
@marbunbarus2527,klu anda masih percaya pada penegak hukum anda dapat diduga adalah odgj,Negatif
@Kulo_fann,banyakin berita kek gini min,Negatif
@mohammadtaufiq8580,rampas harta koruptor hukum mati,Negatif
@HamidiDidi-o6y,kenapa indonesia ngak bisa maju dan kenapa rakyat indonesia masih banyak yang miskin karena korupsi merajalela di negri ini,Negatif
@johnfelics177,hebat indonesia sllu rekor dlm korupsi enaknya diapain ya para koruptor ini,Negatif
@pakarilmu433,sby sekarang ketar ketir sport jantung karena karen agustiawan buka mulut siapa otaknya korupsi di pertamina,Negatif
@herukusumo206,berarti presiden saat itu masih sby kalau mendengar pengakuan mantan dirut pertamina dia hanya melaksanakan inpres yang dikeluarkan sby pada saat itu berarti sby yang bertanggung jawab,Netral
@erikawidowati6785,jangan ibu karen jadi korban jabatan krn hrs memenuhi kepentingan tuntutan pemerintahan pada waktu itu ya,Negatif
@bikerskampung5992,malingnya sehat sopan dan ahli ibadah,Negatif
@moderasi,keadilan sosial bagi seluruh rakyat indonesia tidak untuk kejahatan korupsi dan penanganan koruptor,Negatif
@agunghariyono2528,pertama siapa dulu yang mengangkat dia menjadi direktur jabatan puncak di pertamina mereka juga harus dimintai pertanggungjawaban tidak boleh melenggang lepas tangan begitu saja kedua saatnya melepaskan urusan politik dalam tata kelola dan manajemen sdm seluruh kementrian dan bumn jalankan merit sistem secara obyektif yang berbasis pada kompetensi dan kapabilitas ketiga libatkan para psikolog senior untuk melakukan screening agar tidak ada jiwa kere yang bisa lolos menduduki posisi dan jabatan strategis diseluruh lembaga pemerintahan dan bumn jalankan hukuman mati kepada para koruptor,Negatif
@CahGalau,saya pikir kpk lah yang tidak fair dan tidak punya ilmu akuntansi yang cukup baik dan hanya menggunakan kekuasaan untuk alasan tertentu ini menunjukkan bahwa kpk saat ini harus dirombak ataupun dibubarkan saja,Netral
@TarisaPonsel-sm4ty,wah berarti sy ditipu sama dirut ini beli pertamax eh dapet pertalit ancoorr,Negatif
@amienmujiono1938,saya suka brita begini indah sekali negriku,Negatif
@prabuagusta3096,yakin bu karen tidak bersalah may god bless you bu,Positif
@andianta1263,semua aspek di korupsi bener negeri korup miiris nya negeri ku,Negatif
@khastachanel355,rakyat kecil suruh barcode yang atas main korupsi,Negatif
@rikioktriansyah,keren penyampaian beritanya,Netral
@yosi_ALL,testimoni jujur sebagai pengguna lama pertamax saya pengguna pertamax sejak lama kandungan sulfur pada pertamax memang sangat tinggi diangka ppm dimana angka ini sama dengan tingkat kandungan sulfur pada pertalite bahkan pertamax ini hanya bbm berkualitas euro kandungan sulfur yang tinggi ini mengakibatkan endapan kotoran kerak karbon di dalam ruang bakar mesin selama saya menggunakan pertamax rata setiap tahun sekali rotax fuel pump saya pasti rusak dan setiap saya bongkar mesin saya menemukan piston di dalam ruang bakar mesin saya dipenuhi endapan kotoran kerak karbon jadi klaim yg mengatakan penggunaan bbm jenis pertamax dapat membersihkan ruang bakar mesin adalah bull shit,Negatif
@mfajaralghifari8961,gila ini mafia cuyy,Negatif
@creativet4915,sebagai rakyat kami lebih percaya karen daripada kpk karena kpk sekarang bagi kami rakyat bermasalah,Negatif
@CahSendang-j2f,jgn pakai masker biar sodara dan keluarga besar nya tau,Negatif
@yosuachristanto4914,kerja di bumn harus siap dipenjara setiap kerugian business dianggap kerugian negara alias tindak pidana korupsi mengerikan sekali negara tidak mau rugi hanya mau untungnya saja mana ada business yang pasti untung sangat aneh kebijakan di negeri ini,Negatif
@akhmad_efendi,pertamina untung tapi kenapa selalu yang di sampaikan ke rakyat pertamina selalu merugi perusahaan negara yang mengelola sumber daya alam tetapi jika untung masuk kantong pejabat jika rugi menyalahkan rakyat bumn kok gak ada manfaat ke rakyat cuma alat cari cuan pejabat mending bubarin sajalah bumn,Negatif
@b88866,yg komen pada ga nyambung ini mah jamannya si baper,Negatif
@warungwbl5907,ak yakin ibu ini ga seauai tuntutan ak yakin ada orang yg menjebloska ibu ini sehat selalu bu moga ad jalan untuk permasalahan ini,Positif
@TaufiKSudrajat-n9u,mudahan bapak presiden menjadikan indonesia bebas korupsi dan membasmi para penjahat yg terlindungi selama ini,Positif
@hidayatullah2709,tikus negeri yg merugikan negara,Negatif
@cynthiaevelin8612,bro memasak,Netral
@MbahMu9829,kasus terdahulu cuma bulan di penjara ruang vip padahal vonis nya tahun kasus ini juga bakal sama asal dia ikuti skenario aja dan gak bocorin duitnya ngalir ke partai mana,Negatif
@fatimahsalha5796,mantap final liga koruptor champion,Negatif
@danhajj8629,segala kebaikan bagi ibu ini beserta seluruh keluarganya aamiin,Negatif
@ianroyyan2614,luar biasa aksi korporasi,Netral
@cibuq,tetap semangat sabar ibu karen semoga untuk kedua kalinya ibu akan dibebaskan dr tuduhan yg tdk terbukti,Positif
@WarisDoang-i1g,hukum yg terlalu ringan tdk membuat kapok para koruptor,Negatif
@mangatursitorus4934,melihat penampilan ibu ini yg begitu alim penampilannya ga mungkin dia ini korupsi,Negatif
@navigator335,waktu menjabat tak pakai jilbab eh di cokok kpk pakai jilbab,Negatif
@danielreichard9680,sby harus diperiksa semua hartanya sampai ke akarnya lihat aja hampir semua mentrinya korupsi,Negatif
@EvaLina-m3i,sama kaya pertamax dipake cepet abis neda ama shell bp,Negatif
@rustam385,sangat jujur ibu ini jgn takut dg kejujuran bu semoga dg kejujuran insya allah ibu mendapat perlindungan dan pertolongan dari allah swt,Positif
@davidmanalu7934,kpn koruptor dihukum mati bosan dengarin bermunculan para koruptor korupsinya ratusan trilyun lg,Negatif
@anwarhadja3127,kayaknya akibat sering mengeritik kebijakan manajemen pertamina yg terus merugi di bawah sang komisaris ahok hkhk,Negatif
@yulipurwanto9960,kpk malah lucu dari kemarin anak buahnya aja buat tumbal atasanya jga yg merintah berani g,Negatif
@MuhammadSaidSaid-ow1jd,berita top,Netral
@SelametAmex,banggakan rakyat koruptor di miskinkan dan minimal penjara seumur hidup,Negatif
@sisiliadp3080,hukum mati merugikan masyarakat,Negatif
@arumgondangmanis4580,mereka pengkhianat negara,Negatif
@YogaPrabawa-dk8pe,jangan lupa usut juga kasus pertalite kenapa harga pertalite bisa lebih mahal dari vivo sebelum vivo disuruh naik harganya pertalite rb vivo rb an something wrong harga subsidi bisa lebih mahal dari harga swasta non subsidi ada something wrong antara bohong pertalite dibilang subsidi padahal nggak atau ada mafianya hmm,Negatif
@Nameless2017,mantap metro tv,Netral
@dodiapriadi4247,lembut kali nangkapnya,Netral
@Kang_Maxim,zaman sekarang korupsi bukan makin hilang malah tambah gede ya nominalnya,Negatif
@Naura9765,bismillah semoga ibu gak bersalah dari komunikasi tegas dan gk malu memberikan keterangan bismillah semoga ibu gak bersalah,Negatif
@bahagiahidup3188,hukum seumur hidup atau mati biar enggak ada yang meniru korupsi seperti,Negatif
@jatiwahyono1034,rata bumn banyak tikus kepala item y,Negatif
@frod2219,sampai jumpa di akherat broo gw konsumen pertamaxx,Negatif
@AndriSusanto-lk1bf,jaman sby banyak banget scandal pertamina hambalang pelepasan geby australia asabri centuri astaghfirullah beye,Negatif
@makmursurjono8116,sby dan dahlan iskan terlibat nich,Negatif
@ultramenGokGok,bro bukan memasak tapi menggosong,Netral
@gressasad3737,sekalian panggil megawati atas kisruh di rembang berani g kpk coba buktikan,Negatif
@NorSetiawan-k3x,ngeri perilaku seperti ini untung nasibku bukan sebagai karyawam bumn nggak kuat sama tanggung jawabnya di dunia dan akherat,Negatif
@MarikaMau-p4g,berita yg kabarnya terbaik,Netral
@edisuryanto7753,kasihan para profesional kalau kerugian dianggap korupsi,Negatif
@alifakbarnugroho2448,mungkin total semuanya uang negara yang dikorupsi bisa sampai ribuan triliun dari mulai yang sudah maupun belum terungkap gimana si hukum di negeri ini coba seperti negara lain pelaku korupsi dihuku mati kalau begini ga ada perubahan bangsa ini mau jadi negara maju tapi gak mau mencontoh negara maju memang uang adalah segalanya sampai hukum aja diperjualbelikan semoga kita diberikan pemimpin yang amanah dan tegas serta tidak pandang bulu dan tidak hanya omon,Negatif
@AlfianRasyid-t8z,mantap pak jaksa berdinas tuk negara berantas korupsi,Negatif
@TanahMas_8,suulliitt diberantas karena toh akhirnya bisa bebas dan dapat menikmati hasil korupsinya,Negatif
@SarwantyAnty,sampai kapan pun indonesia tidak akan berani hukum mati bagi koruptor karena pemerintah semua pejabat juga ikut terlibat korupsi,Negatif
@irenemasinambow692,keren presiden kita sikat semua koruptor,Positif
@TienSol-j4n,koruptor marak krn hukum indonesia terlalu lemah ruu perampasan aset harus segera di syah kan,Negatif
